keyword,label,direction_cn,layer,cluster,tier,lang,hit_sentences,hit_companies
大模型,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,ZH,174,31
大语言模型,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,ZH,5,4
生成式AI,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,MIX,4,4
生成式人工智能,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,ZH,4,3
LLM,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,EN,2,1
GPT,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,EN,2,2
多模态大模型,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,ZH,4,3
智能体,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,ZH,97,18
AI Agent,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,EN,14,6
检索增强生成,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,ZH,2,2
RAG,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,EN,8,8
DeepSeek,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,EN,6,4
Qwen,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,EN,2,2
通义千问,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,ZH,0,0
盘古大模型,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,ZH,0,0
文心一言,TECH_LLM,大模型与生成式AI,TECH,感知与生成,CORE,ZH,0,0
多模态,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,ZH,24,10
生成式,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,ZH,10,7
提示词,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,ZH,3,3
Prompt,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,EN,0,0
微调,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,ZH,1,1
SFT,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,EN,0,0
LoRA,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,EN,0,0
预训练,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,ZH,0,0
上下文窗口,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,ZH,0,0
思维链,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,ZH,0,0
Agent,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,EN,30,11
MCP协议,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,MIX,0,0
向量数据库,TECH_LLM,大模型与生成式AI,TECH,感知与生成,EXT,ZH,2,2
机器学习,TECH_ML,机器学习与深度学习,TECH,认知与推理,CORE,ZH,9,6
深度学习,TECH_ML,机器学习与深度学习,TECH,认知与推理,CORE,ZH,5,5
神经网络,TECH_ML,机器学习与深度学习,TECH,认知与推理,CORE,ZH,1,1
梯度提升,TECH_ML,机器学习与深度学习,TECH,认知与推理,CORE,ZH,0,0
XGBoost,TECH_ML,机器学习与深度学习,TECH,认知与推理,CORE,EN,0,0
随机森林,TECH_ML,机器学习与深度学习,TECH,认知与推理,CORE,ZH,0,0
集成学习,TECH_ML,机器学习与深度学习,TECH,认知与推理,CORE,ZH,0,0
特征工程,TECH_ML,机器学习与深度学习,TECH,认知与推理,EXT,ZH,0,0
监督学习,TECH_ML,机器学习与深度学习,TECH,认知与推理,EXT,ZH,0,0
无监督学习,TECH_ML,机器学习与深度学习,TECH,认知与推理,EXT,ZH,0,0
聚类,TECH_ML,机器学习与深度学习,TECH,认知与推理,EXT,ZH,0,0
回归模型,TECH_ML,机器学习与深度学习,TECH,认知与推理,EXT,ZH,0,0
模型迭代,TECH_ML,机器学习与深度学习,TECH,认知与推理,EXT,ZH,1,1
样本标注,TECH_ML,机器学习与深度学习,TECH,认知与推理,EXT,ZH,0,0
过拟合,TECH_ML,机器学习与深度学习,TECH,认知与推理,EXT,ZH,0,0
自然语言处理,TECH_NLP,自然语言处理,TECH,感知与生成,CORE,ZH,6,5
NLP,TECH_NLP,自然语言处理,TECH,感知与生成,CORE,EN,2,1
语义理解,TECH_NLP,自然语言处理,TECH,感知与生成,CORE,ZH,4,4
语义分析,TECH_NLP,自然语言处理,TECH,感知与生成,CORE,ZH,2,2
文本挖掘,TECH_NLP,自然语言处理,TECH,感知与生成,CORE,ZH,0,0
情感分析,TECH_NLP,自然语言处理,TECH,感知与生成,CORE,ZH,0,0
意图识别,TECH_NLP,自然语言处理,TECH,感知与生成,CORE,ZH,0,0
命名实体识别,TECH_NLP,自然语言处理,TECH,感知与生成,CORE,ZH,0,0
分词,TECH_NLP,自然语言处理,TECH,感知与生成,EXT,ZH,0,0
文本分类,TECH_NLP,自然语言处理,TECH,感知与生成,EXT,ZH,0,0
机器翻译,TECH_NLP,自然语言处理,TECH,感知与生成,EXT,ZH,0,0
