fintech_related,ai_evidence_level,tracks,business_materiality,confidence,evidence,reason,needs_annual_report_validation,fintech_candidate_for_annual_report,confirmed_ai_from_main_business,ai_fintech_candidate,financial_institution_review_candidate,financial_institution_category,financial_institution_review_reason,annual_report_fintech_review_candidate,ts_code,name,industry,market,exchange,report_period,prefilter_passed,prefilter_reason,prefilter_strong_hits,prefilter_financial_hits,prefilter_tech_hits,financial_institution_industry_hits,financial_institution_business_hits,financial_related_industry_hits,model,prompt_tokens,completion_tokens,total_tokens
True,explicit,银行IT、AI金融基础设施,important,75,银行影像解决方案、人工智能综合服务,主营业务包含银行专用解决方案和明确的人工智能综合服务，收入突出，属于金融科技核心赛道，AI证据明确。,False,True,True,True,False,,,True,002657.SZ,中科金财,软件服务,主板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,银行,解决方案、软件,,,,deepseek-v4-flash,1725,110,1835
True,indirect,银行IT、财富管理科技、支付科技,core,75,财富管理及金融市场业务解决方案、支付清算业务解决方案、智能数字化客户服务解决方案、银行客户,主营业务包含财富管理及金融市场业务解决方案、支付清算业务解决方案、智能数字化客户服务解决方案，且有大量银行客户收入，这些产品明确面向金融场景，属于金融科技。但“智能数字化”仅含“智能”字眼，未明确提及AI技术，故AI证据为indirect。,False,True,True,True,False,,,True,002721.SZ,金一文化,服饰,主板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,支付、清算、财富管理、银行,信息技术、技术服务、数字化、解决方案、软件,,,,deepseek-v4-flash,2449,167,2616
True,indirect,银行IT、其他金融科技,important,75,金融科技解决方案、智慧客服及消费金融精准营销、人工智能及大数据创新产品,有明确的金融科技解决方案和智慧客服及消费金融精准营销，属于金融科技相关。人工智能及大数据创新产品表明有AI相关产品，但输入中未明确说明具体应用场景，需年报验证。,True,True,True,True,False,,,True,002987.SZ,京北方,软件服务,主板,SZSE,20251231.0,True,命中明确金融科技产品/服务关键词,金融科技解决方案,金融机构、银行,解决方案、软件,,,,deepseek-v4-flash,2265,140,2405
True,explicit,银行IT、AI金融基础设施、金融信息安全,core,75,银行现金及重控物品管理解决方案、银行自助设备现金管理系统解决方案、银行系统AI鉴权及音视频采集解决方案、密码安全解决方案,主营业务明确包含银行专用解决方案，如现金管理、AI鉴权及密码安全，属于银行IT、AI金融基础设施和金融信息安全赛道；AI证据明确出现在产品名中。,False,True,True,True,False,,,True,300561.SZ,汇金科技,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,银行,信息技术、技术服务、系统、解决方案、软件,,,,deepseek-v4-flash,2306,159,2465
True,indirect,财务SaaS、财税科技,important,70,数智财务与财会监督、数字企业、数据智能,主营业务包含'数智财务与财会监督'、'数字企业'等，可能涉及财务SaaS和财税科技，但产品描述较宽泛，缺乏明确金融科技专用性证据；'数据智能'可能包含AI但未明确。,True,True,True,True,False,,,True,002279.SZ,久其软件,软件服务,主板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,财务,平台、软件,,,,deepseek-v4-flash,1820,145,1965
True,none,支付科技,important,75,金融科技服务、第三方支付业务,主营业务明确包含金融科技服务和第三方支付业务，直接涉及支付科技赛道，但未提供人工智能相关证据。,True,True,False,False,False,,,True,002537.SZ,海联金汇,汽车配件,主板,SZSE,20251231.0,True,命中明确金融科技产品/服务关键词,金融科技服务,支付,,,,,deepseek-v4-flash,2097,102,2199
True,none,金融数据、财富管理科技,core,75,金融信息服务、增值电信服务、软件销售及维护服务、基金销售及其他交易手续费等其他业务、广告及互联网业务推广服务,主营业务包括金融信息服务、增值电信服务、软件销售及维护服务、基金销售及其他交易手续费等其他业务和广告及互联网业务推广服务，核心为金融数据与财富管理科技，但未提及AI相关技术。,True,True,False,False,False,,,True,300033.SZ,同花顺,软件服务,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,基金,软件,,,,deepseek-v4-flash,1758,153,1911
True,none,财富管理科技、金融数据、证券IT,important,75,金融电子商务服务、金融数据服务、信息技术服务业,主营业务包含金融电子商务（财富管理）、金融数据服务、信息技术服务，均为金融科技相关业务，但未提及AI技术。,True,True,False,False,True,金融机构,公司属于银行、证券、保险、信托、期货、租赁等金融机构。金融科技能力通常不会单独列入主营业务项目，建议通过年度报告进一步核验。,True,300059.SZ,东方财富,证券,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,基金、证券、资产管理、银行,信息技术、技术服务、数据服务,证券,投资银行业务、期货经纪业务、证券经纪业务、资产管理业务、银行业务,,deepseek-v4-flash,2088,119,2207
True,none,支付科技,core,75,收单及增值服务(行业)、电子支付、收单服务及其他收入,主营业务明确包含收单服务和电子支付，属于支付科技赛道，但输入没有AI相关证据。,True,True,False,False,False,,,True,300130.SZ,新国都,IT设备,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,支付、收单,技术服务,,,,deepseek-v4-flash,1904,110,2014
True,none,支付科技,core,75,电子支付密码系统、支付管理系统、对公移动支付,主营业务包含电子支付密码系统、支付管理系统和对公移动支付，明确属于支付科技领域，但缺乏AI相关证据，且主营项目名称较宽泛。,True,True,False,False,False,,,True,300333.SZ,兆日科技,IT设备,创业板,SZSE,20251231.0,True,同时命中金融场景词与技术产品词,,支付,系统,,,,deepseek-v4-flash,1862,119,1981
