source,target,rel,weight,evidence,conf,quote,section,page
CLUSTER::可信与底座,AI_ENGINEERING,SUBSUMES,6.419,17,,,,
CLUSTER::感知与生成,TECH_CV,SUBSUMES,8.11,18,,,,
CLUSTER::认知与推理,TECH_DECISION,SUBSUMES,4.203,11,,,,
CLUSTER::认知与推理,TECH_KG,SUBSUMES,1.915,4,,,,
CLUSTER::感知与生成,TECH_LLM,SUBSUMES,53.12,131,,,,
CLUSTER::认知与推理,TECH_ML,SUBSUMES,2.347,8,,,,
CLUSTER::感知与生成,TECH_NLP,SUBSUMES,1.139,3,,,,
CLUSTER::可信与底座,TECH_PRIVACY,SUBSUMES,0.942,2,,,,
CLUSTER::认知与推理,TECH_RL,SUBSUMES,1.299,3,,,,
CLUSTER::感知与生成,TECH_SPEECH,SUBSUMES,1.263,4,,,,
000750.SZ,PRODUCT_INVEST,OFFERS_PRODUCT,0.323,2,LOW,公司财富管理业务代理客户买卖股票、债券、基金、期货及其他可交易证券，根据客户需求提供全方位、可定制的投资顾问、理财规划、资产配置等服务，同时为专业投资者提供基金运营、投资交易风控系统等服务。,业务概要,1.0
000987.SZ,TECH_LLM,USES_TECH,0.42,1,MEDIUM,升级创新工具底座，接入新一代大模型并引入低代码平台，成功应用于数据填报等场景，并探索资本市场商机挖掘等高阶应用，有效提升运营效率。,研发投入,10.0
000997.SZ,PRODUCT_PAYMENT,OFFERS_PRODUCT,3.003,6,MEDIUM,拟达到的目标：构筑公司智能支付核心技术壁垒。,研发投入,18.0
000997.SZ,TECH_DECISION,USES_TECH,0.533,1,HIGH,预计对公司未来发展的影响：提升数字商业板块智能风控能力。,研发投入,18.0
002647.SZ,PRODUCT_CUSTOMER,OFFERS_PRODUCT,0.38,1,MEDIUM,为满足客户便捷化的服务需求，合利宝智能客户系统实现全新升级，能自主优化系统流程，提升人机协作水平，准确理解用户需求并解决问题，目前合利宝已搭建包括智能客服系统、人工客服等在内的全新多元化客服载体，随时对用户发起的提问做出,核心竞争力,3.0
002647.SZ,PRODUCT_PAYMENT,OFFERS_PRODUCT,0.514,1,MEDIUM,经过不断地丰富和发展，目前合利宝业务涵盖智慧零售、金融科技、跨境支付、电商文化、旅游出行、教育考试等多个领域，推出了多种创新扫码支付产品，比如智能POS 机、4G 云音响、4G 语音台卡、立牌、贴纸等，智慧支付解决方案已,业务概要,1.0
