原型ID,标准标签代码,样本类型,原型句,用途,预期判定
PRO-001,TECH_ML,POSITIVE,公司利用机器学习模型预测客户违约概率，并将结果用于授信审批。,用于短语/句子嵌入原型或验证集,正向类别
PRO-002,TECH_ML,POSITIVE,研发团队使用图神经网络识别账户之间的异常资金关联。,用于短语/句子嵌入原型或验证集,正向类别
PRO-003,TECH_ML,POSITIVE,平台基于历史交易序列训练时序预测模型，监测流动性风险。,用于短语/句子嵌入原型或验证集,正向类别
PRO-004,TECH_ML,HARD_NEGATIVE,公司采用传统回归方法编制年度预算预测。,用于易混淆样本校验,不应归入该类别
PRO-005,TECH_ML,HARD_NEGATIVE,公司持续优化业务流程和管理模型，但未披露机器学习技术。,用于易混淆样本校验,不应归入该类别
PRO-006,TECH_RL,POSITIVE,公司采用强化学习动态优化投资组合和交易策略。,用于短语/句子嵌入原型或验证集,正向类别
PRO-007,TECH_RL,POSITIVE,智能定价系统通过奖励反馈持续调整定价策略。,用于短语/句子嵌入原型或验证集,正向类别
PRO-008,TECH_RL,POSITIVE,研发团队构建多智能体强化学习框架模拟市场博弈。,用于短语/句子嵌入原型或验证集,正向类别
PRO-009,TECH_RL,HARD_NEGATIVE,公司加强员工培训和激励机制。,用于易混淆样本校验,不应归入该类别
PRO-010,TECH_RL,HARD_NEGATIVE,投资策略由研究人员根据市场情况人工调整。,用于易混淆样本校验,不应归入该类别
PRO-011,TECH_NLP,POSITIVE,公司使用自然语言处理技术抽取公告中的重大事项和财务指标。,用于短语/句子嵌入原型或验证集,正向类别
PRO-012,TECH_NLP,POSITIVE,系统对合同文本进行实体识别、条款分类和风险提示。,用于短语/句子嵌入原型或验证集,正向类别
PRO-013,TECH_NLP,POSITIVE,智能问答平台通过语义检索回答银行客户的业务问题。,用于短语/句子嵌入原型或验证集,正向类别
PRO-014,TECH_NLP,HARD_NEGATIVE,公司安排人员人工阅读合同并形成摘要。,用于易混淆样本校验,不应归入该类别
PRO-015,TECH_NLP,HARD_NEGATIVE,网站提供基于关键词的普通全文检索功能。,用于易混淆样本校验,不应归入该类别
PRO-016,TECH_SPEECH,POSITIVE,客服平台通过语音识别将通话实时转写并进行合规质检。,用于短语/句子嵌入原型或验证集,正向类别
PRO-017,TECH_SPEECH,POSITIVE,智能双录系统识别销售人员话术和客户确认信息。,用于短语/句子嵌入原型或验证集,正向类别
PRO-018,TECH_SPEECH,POSITIVE,声纹识别模块用于远程客户身份核验。,用于短语/句子嵌入原型或验证集,正向类别
PRO-019,TECH_SPEECH,HARD_NEGATIVE,公司使用电话录音系统保存客户通话。,用于易混淆样本校验,不应归入该类别
PRO-020,TECH_SPEECH,HARD_NEGATIVE,客服人员通过人工抽听方式开展录音质检。,用于易混淆样本校验,不应归入该类别
PRO-021,TECH_CV,POSITIVE,公司利用OCR识别发票、银行回单和保险理赔材料。,用于短语/句子嵌入原型或验证集,正向类别
PRO-022,TECH_CV,POSITIVE,活体检测和人脸识别技术用于线上开户身份核验。,用于短语/句子嵌入原型或验证集,正向类别
PRO-023,TECH_CV,POSITIVE,保险定损系统通过图像识别判断车辆受损部位。,用于短语/句子嵌入原型或验证集,正向类别
PRO-024,TECH_CV,HARD_NEGATIVE,公司在生产线使用机器视觉检测产品外观缺陷。,用于易混淆样本校验,不应归入该类别
PRO-025,TECH_CV,HARD_NEGATIVE,员工将扫描件人工录入财务系统。,用于易混淆样本校验,不应归入该类别
PRO-026,TECH_KG,POSITIVE,公司构建企业股权、担保和交易关系网络，识别关联风险。,用于短语/句子嵌入原型或验证集,正向类别
PRO-027,TECH_KG,POSITIVE,平台通过图数据库实现多层股权关系穿透分析。,用于短语/句子嵌入原型或验证集,正向类别
