company_id,company_name,keyword,label,direction_cn,layer,tier,hits,weighted
000567.SZ,海德股份,智能决策,TECH_DECISION,智能决策与预测,TECH,CORE,1,1.0
000567.SZ,海德股份,对账,PRODUCT_FINANCE,智能财务与司库,PRODUCT,EXT,1,0.5
000987.SZ,越秀资本,大模型,TECH_LLM,大模型与生成式AI,TECH,CORE,1,1.0
000987.SZ,越秀资本,支付,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,EXT,2,1.0
000987.SZ,越秀资本,投资,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,EXT,3,1.5
000987.SZ,越秀资本,基金,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,EXT,1,0.5
000987.SZ,越秀资本,员工,APP_INTERNAL,内部提效应用,APP,EXT,1,0.5
000997.SZ,新大陆,智能风控,TECH_DECISION,智能决策与预测,TECH,CORE,1,1.0
000997.SZ,新大陆,智能支付,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,CORE,5,5.0
000997.SZ,新大陆,支付,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,EXT,10,5.0
000997.SZ,新大陆,商户,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,EXT,2,1.0
000997.SZ,新大陆,智能审核,APP_INTERNAL,内部提效应用,APP,CORE,1,1.0
001236.SZ,弘业期货,员工,APP_INTERNAL,内部提效应用,APP,EXT,5,2.5
002537.SZ,海联金汇,量化,PRODUCT_INVEST,智能投研与财富管理,PRODUCT,EXT,4,2.0
002647.SZ,仁东控股,风控模型,TECH_DECISION,智能决策与预测,TECH,CORE,1,1.0
002647.SZ,仁东控股,供应链金融,PRODUCT_CREDIT,智能信贷,PRODUCT,EXT,1,0.5
002647.SZ,仁东控股,收单,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,CORE,2,2.0
002647.SZ,仁东控股,POS,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,CORE,2,2.0
002647.SZ,仁东控股,支付,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,EXT,6,3.0
002647.SZ,仁东控股,商户,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,EXT,6,3.0
002647.SZ,仁东控股,结算,PRODUCT_PAYMENT,智能支付与清算,PRODUCT,EXT,1,0.5
002647.SZ,仁东控股,客服,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,EXT,1,0.5
002647.SZ,仁东控股,营销,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,EXT,1,0.5
002647.SZ,仁东控股,用户体验,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,EXT,1,0.5
002647.SZ,仁东控股,对账,PRODUCT_FINANCE,智能财务与司库,PRODUCT,EXT,1,0.5
002647.SZ,仁东控股,资金管理,PRODUCT_FINANCE,智能财务与司库,PRODUCT,EXT,3,1.5
002657.SZ,中科金财,大模型,TECH_LLM,大模型与生成式AI,TECH,CORE,4,4.0
002657.SZ,中科金财,智能体,TECH_LLM,大模型与生成式AI,TECH,CORE,1,1.0
002657.SZ,中科金财,AI Agent,TECH_LLM,大模型与生成式AI,TECH,CORE,3,3.0
002657.SZ,中科金财,多模态,TECH_LLM,大模型与生成式AI,TECH,EXT,3,1.5
002657.SZ,中科金财,Agent,TECH_LLM,大模型与生成式AI,TECH,EXT,9,4.5
002657.SZ,中科金财,语义理解,TECH_NLP,自然语言处理,TECH,CORE,1,1.0
002657.SZ,中科金财,OCR,TECH_CV,计算机视觉,TECH,CORE,2,2.0
002657.SZ,中科金财,影像,TECH_CV,计算机视觉,TECH,EXT,2,1.0
002657.SZ,中科金财,本体建模,TECH_KG,知识图谱,TECH,CORE,1,1.0
002657.SZ,中科金财,智能客服,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,CORE,1,1.0
002657.SZ,中科金财,智能营销,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,CORE,1,1.0
002657.SZ,中科金财,客服,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,EXT,1,0.5
002657.SZ,中科金财,营销,PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,EXT,1,0.5
002657.SZ,中科金财,流程自动化,APP_INTERNAL,内部提效应用,APP,EXT,1,0.5
002670.SZ,国盛证券,大模型,TECH_LLM,大模型与生成式AI,TECH,CORE,3,3.0
