ts_code,name,final_fintech_related,final_confidence,final_tracks,is_pseudo_fintech_false_positive,recommend_manual_review,recheck_trigger,recheck_source
300079.SZ,数码视讯,False,20,,True,True,低置信度,company_level_only
000917.SZ,电广传媒,False,10,,True,False,非持牌金融相关主体,annual_report_level
001914.SZ,招商积余,False,10,,True,False,非持牌金融相关主体,annual_report_level
002867.SZ,周大生,False,10,,True,False,非持牌金融相关主体,annual_report_level
301159.SZ,三维天地,False,10,,True,False,非持牌金融相关主体,annual_report_level
601866.SH,中远海发,False,10,,True,False,非持牌金融相关主体,annual_report_level
300166.SZ,东方国信,False,15,,True,False,低置信度,company_level_only
300061.SZ,旗天科技,False,15,,True,False,低置信度,company_level_only
000039.SZ,中集集团,False,20,,True,False,非持牌金融相关主体,annual_report_level
600318.SH,新力金融,False,20,,True,False,非持牌金融相关主体,annual_report_level
600908.SH,无锡银行,False,20,,True,False,低置信度,annual_report_level
601236.SH,红塔证券,False,20,,True,False,低置信度,annual_report_level
603506.SH,南都物业,False,20,,True,False,非持牌金融相关主体,annual_report_level
603860.SH,中公高科,False,20,,True,False,非持牌金融相关主体,annual_report_level
002315.SZ,焦点科技,False,20,,True,False,低置信度,company_level_only
301378.SZ,通达海,False,20,,True,False,低置信度,company_level_only
002153.SZ,石基信息,False,20,,True,False,低置信度,company_level_only
000617.SZ,中油资本,False,25,,True,False,非持牌金融相关主体,annual_report_level
600783.SH,鲁信创投,False,25,,True,False,非持牌金融相关主体,annual_report_level
300448.SZ,浩云科技,False,25,,True,False,低置信度,company_level_only
601162.SH,天风证券,False,30,,True,False,低置信度,annual_report_level
000560.SZ,我爱我家,False,35,,True,False,非持牌金融相关主体,annual_report_level
600410.SH,华胜天成,False,70,,True,False,非持牌金融相关主体,annual_report_level
300047.SZ,天源迪科,False,85,,True,False,低置信度,company_level_only
600271.SH,航天信息,False,85,,True,False,低置信度,company_level_only
000722.SZ,湖南发展,False,95,,True,False,非持牌金融相关主体,annual_report_level
300170.SZ,汉得信息,False,95,,True,False,非持牌金融相关主体,annual_report_level
600864.SH,哈投股份,True,45,人工智能与大模型、数字化渠道与开放银行,False,True,低置信度,annual_report_level
002839.SZ,张家港行,True,55,数字化渠道与开放银行、数据平台与数据治理、支付清算与数字人民币、科技投入与组织建设、其他金融科技,False,True,低置信度,annual_report_level
601456.SH,国联民生,True,60,人工智能与大模型、智能风控与反欺诈、科技投入与组织建设、其他金融科技,False,True,低置信度,annual_report_level
002537.SZ,海联金汇,True,65,支付清算与数字人民币、数字化渠道与开放银行、科技投入与组织建设,False,True,非持牌金融相关主体,annual_report_level
000567.SZ,海德股份,True,70,人工智能与大模型、智能风控与反欺诈、科技投入与组织建设、其他金融科技,False,True,非持牌金融相关主体,annual_report_level
301153.SZ,中科江南,False,74,,False,True,低置信度,company_level_only
000828.SZ,东莞控股,False,0,,False,False,非持牌金融相关主体,annual_report_level
000935.SZ,四川双马,False,0,,False,False,非持牌金融相关主体,annual_report_level
600053.SH,*ST九鼎,False,5,,False,False,非持牌金融相关主体,annual_report_level
000712.SZ,锦龙股份,False,15,,False,False,低置信度,annual_report_level
600390.SH,五矿资本,False,25,,False,False,非持牌金融相关主体,annual_report_level
300590.SZ,移为通信,False,30,,False,False,非持牌金融相关主体,annual_report_level
002647.SZ,仁东控股,True,60,支付清算与数字人民币、人工智能与大模型,False,False,非持牌金融相关主体,annual_report_level
002936.SZ,郑州银行,True,60,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、科技投入与组织建设,False,False,低置信度,annual_report_level
600446.SH,金证股份,True,60,人工智能与大模型、智能风控与反欺诈、数字化渠道与开放银行、数据平台与数据治理、云计算与技术基础设施、智能投顾与财富管理、支付清算与数字人民币、监管科技与合规、证券科技,False,False,非持牌金融相关主体,annual_report_level
