sentence_id,company_id,company_name,report_year,section,sentence_text,matched_surface_forms,matched_core_ids,matched_pattern_ids,candidate_labels,dedup_key,specific_technology_labels,product_labels,ai_general_anchor,company_attribution,status_code,max_embedding_similarity,rule_confidence,final_confidence,is_candidate,evidence_terms,notes,source_file,pdf_page,report_page,subheading,text_type,original_sentence_id,embedding_pass_labels,embedding_review_labels,embedding_score_summary
CAND-00001,000567.SZ,海德股份,2025,研发投入,拟达到的目标：通过数据驱动与智能决策能力建设，显著降低运营成本与合规风险，加速资产包回款周期，强化公司在个贷不良处置领域的科技壁垒，为规模化、平台化发展奠定坚实基础。,智能决策,AIFT-109,ALS-0447,TECH_DECISION,MDAF0000056+TECH_DECISION,TECH_DECISION,,1,COMPANY,WEAK_GENERIC,0.467261,0.6,0.6,1,智能决策,,000567.SZ_海德股份_2025_管理层讨论与分析.pdf,11,20,,表格行,MDAF0000056,,TECH_DECISION,TECH_DECISION=0.4673/0.1675
CAND-00002,000750.SZ,国海证券,2025,业务概要,公司财富管理业务代理客户买卖股票、债券、基金、期货及其他可交易证券，根据客户需求提供全方位、可定制的投资顾问、理财规划、资产配置等服务，同时为专业投资者提供基金运营、投资交易风控系统等服务。,交易风控,AIFT-239,ALS-0970,PRODUCT_PAYMENT,MDAF0000092+PRODUCT_PAYMENT,,PRODUCT_PAYMENT,0,COMPANY,,0.319109,0.45,0.45,1,交易风控,anchor未满足,000750.SZ_国海证券_2025_管理层讨论与分析.pdf,1,27,（一）财富管理业务,正文,MDAF0000092,,PRODUCT_PAYMENT,PRODUCT_PAYMENT=0.3191/-0.0217
CAND-00003,000750.SZ,国海证券,2025,业务概要,传媒、海外、化工、银行、汽车、商社、电新、农业等行业在各大权威评选中具有品牌影响力，在政策、大宗商品、地缘政治、资产配置、新材料、房地产、潮玩、可转债、美债、铝、中药、风电、大众品、游戏、AIGC、港美股、区块链等方向形成了鲜明的特色，荣获新财富杂志、新浪金麒麟、水晶球、全国保险资管协会、金牛奖等最佳分析师权威评选奖项。,AIGC,AIFT-110,ALS-0452,TECH_LLM,MDAF0000108+TECH_LLM,TECH_LLM,,1,UNKNOWN,,0.328306,0.95,0.95,1,AIGC,,000750.SZ_国海证券_2025_管理层讨论与分析.pdf,4,30,（五）研究业务,正文,MDAF0000108,,TECH_LLM,TECH_LLM=0.3283/0.0198
CAND-00004,000750.SZ,国海证券,2025,核心竞争力,作为国内首批设立并在广西区内注册的唯一一家综合性证券公司，也是广西唯一一家上市金融机构，公司扎实落实“一区两地一园一通道”“打造面向东盟的人工智能合作高地”建设等战略部署，在引资、引产、引智上持续发力，助力地方经济和资本市场高质量发展，同时树立了较强的品牌效应，具有较强的品牌认知度和忠诚度，积累了丰富的机构及财富管理客户资源。,人工智能,AIFT-001,ALS-0001,AI_GENERAL,MDAF0000111+AI_GENERAL,,,1,COMPANY,APPLIED,0.378776,0.65,0.65,1,人工智能,,000750.SZ_国海证券_2025_管理层讨论与分析.pdf,7,33,（一）符合国家战略的区位优势,正文,MDAF0000111,,AI_GENERAL,AI_GENERAL=0.3788/0.0158
CAND-00005,000987.SZ,越秀资本,2025,研发投入,升级创新工具底座，接入新一代大模型并引入低代码平台，成功应用于数据填报等场景，并探索资本市场商机挖掘等高阶应用，有效提升运营效率。,大模型,,ANCHOR:大模型,TECH_LLM,MDAF0000206+TECH_LLM,TECH_LLM,,1,UNKNOWN,APPLIED,0.430108,0.8,0.8,1,大模型,,000987.SZ_越秀资本_2025_管理层讨论与分析.pdf,10,23,,正文,MDAF0000206,,TECH_LLM,TECH_LLM=0.4301/0.0273
CAND-00006,000997.SZ,新大陆,2025,业务概要,依托多年在细分领域积累的客户资源及行业经验，公司充分发挥人工智能、边缘计算、大数据等核心技术优势，持续巩固基石产业，积极培育创新赛道，深化全球化布局。,人工智能,AIFT-001,ALS-0001,AI_GENERAL,MDAF0000221+AI_GENERAL,,,1,COMPANY,,0.392976,0.6,0.6,1,人工智能,,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,1,11,,正文,MDAF0000221,,AI_GENERAL,AI_GENERAL=0.3930/0.0443
CAND-00007,000997.SZ,新大陆,2025,业务概要,公司商户运营及增值服务主要聚焦于我国实体经济的重要组成部分——线下中小微商户，以聚合支付为入口，以合规风控为基石，依托公司全场景智能支付设备，结合各类定制化场景解决方案，为商户提供聚合支付、库存管理、会员营销等数字化服务，并通过大数据分析，帮助商户增加收入、提升经营效率、降低运营成本与融资难度。,智能支付,AIFT-238,ALS-0963,PRODUCT_PAYMENT,MDAF0000234+PRODUCT_PAYMENT,,PRODUCT_PAYMENT,0,COMPANY,WEAK_GENERIC,0.476933,0.1,0.1,1,智能支付,anchor未满足；仅弱词无锚点,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,2,12,1、商户运营及增值服务,正文,MDAF0000234,,PRODUCT_PAYMENT,PRODUCT_PAYMENT=0.4769/-0.0217
CAND-00008,000997.SZ,新大陆,2025,业务概要,新大陆识别公司、江苏智联公司、思必拓公司、优迈捷公司主要从事感知识别产品、机器视觉产品及专用芯片的设计、研发和销售，拥有多个自主研发的解码芯片，结合人工智能技术在嵌入式系统底层开发与定制剪裁，形成与各行业应用场景深入匹配的智能化硬件产品与解决方案。,人工智能; 人工智能技术; 机器视觉,AIFT-001; AIFT-071,ALS-0001; ALS-0004; ALS-0295,AI_GENERAL; TECH_CV,MDAF0000236+TECH_CV,TECH_CV,,1,COMPANY,R_AND_D,0.375233,0.85,0.85,1,人工智能; 人工智能技术; 机器视觉,,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,2,12,2、智能感知识别终端业务,正文,MDAF0000236,,AI_GENERAL;TECH_CV,TECH_CV=0.3752/-0.0395; AI_GENERAL=0.3327/-0.0140
CAND-00009,000997.SZ,新大陆,2025,业务概要,杉昊智能公司主要从事线下商户服务平台的研发，整合各类SaaS 产品，结合AI 与大数据处理分析技术为中小微商户提供数字化解决方案，覆盖零售、餐饮、医疗、烟草等多个行业。,AI,AIFT-001,ALS-0002,AI_GENERAL,MDAF0000238+AI_GENERAL,,,1,COMPANY,R_AND_D,0.386096,0.65,0.65,1,AI,,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,2,12,1、商户运营及增值服务,正文,MDAF0000238,,AI_GENERAL,AI_GENERAL=0.3861/0.0689
CAND-00010,000997.SZ,新大陆,2025,业务概要,主要产品线包括一揽子大模型解决方案、大数据框架平台等基础产品和业务系统，同时提供相关系统的咨询、运营、集成、维护和第三方测试等服务，产品和服务涵盖电信运营商业务支撑服务域和网络支撑运营服务域的核心环节。,大模型,,ANCHOR:大模型,TECH_LLM,MDAF0000240+TECH_LLM,TECH_LLM,,1,UNKNOWN,R_AND_D,0.476305,0.8,0.8,1,大模型,,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,3,13,2、电信运营商数字化服务,正文,MDAF0000240,,TECH_LLM,TECH_LLM=0.4763/0.0222
