任务,环节,耗时占比%,重复性,规则化,数字化,AI可承担度,责任归属,人类角色,责任归属说明
客户资料收集与影像归档,受理,12,95,95,90,95,A,异常件补录、原件核验,AI主导·人监督
证件与财报要素提取（OCR）,受理,10,95,90,95,95,A,识别置信度低的字段复核,AI主导·人监督
征信报告解析与数据入库,尽调,8,90,95,95,95,A,报告缺失/异议处理,AI主导·人监督
反欺诈规则与名单筛查,尽调,6,90,95,95,90,A,命中名单的申诉复核,AI主导·人监督
财务指标计算与比率分析,尽调,8,88,90,92,92,A,抽查勾稽关系,AI主导·人监督
经营真实性交叉验证,尽调,10,45,40,55,45,C,实地走访、上下游访谈,人机协同
信用评分卡打分,评估,6,85,92,95,92,A,模型分与经验判断的偏离审查,AI主导·人监督
风险摘要与授信报告生成,评估,10,60,55,80,78,C,结论改写、风险点补充,人机协同
授信额度与定价方案设计,决策,8,40,55,70,55,C,风险偏好与客户关系权衡,人机协同
异常与非标案件判断,决策,8,15,20,35,25,H,行业周期、软信息、动机识别,人类主导·AI辅助
最终审批签字与问责,决策,4,10,25,30,10,H,承担合规与法律责任,人类主导·AI辅助
贷后监测与预警触发,贷后,6,90,90,92,92,A,预警分级与处置决策,AI主导·人监督
逾期客户沟通与重组谈判,贷后,4,25,25,30,25,H,情绪安抚、还款方案协商,人类主导·AI辅助
