ts_code,name,industry,final_fintech_related,final_confidence,final_tracks,evidence_source,consistency_note,round1_fintech_related,round1_confidence,round1_tracks,round1_reason,round2_fintech_related,round2_confidence,round2_tracks,is_pseudo_fintech_false_positive,recommend_manual_review,recheck_trigger,manual_review_conclusion,manual_review_note
002657.SZ,中科金财,软件服务,TRUE,85,银行IT、AI金融基础设施,第二轮复核-主营业务层面,结论一致,TRUE,75,银行IT、AI金融基础设施,主营业务包含银行专用解决方案'银行影像解决方案'以及'人工智能综合服务'，明确涉及金融科技和AI技术，但输入未提供业务细节，故置信度85，需年报验证。,TRUE,85,银行IT、AI金融基础设施,FALSE,FALSE,低置信度,,
300561.SZ,汇金科技,软件服务,TRUE,85,银行IT、金融信息安全,第二轮复核-主营业务层面,结论一致,TRUE,75,银行IT、金融信息安全,主营业务包括银行专用解决方案（现金管理、自助设备现金管理）和密码安全解决方案，表明公司向银行提供专用软件和系统，属于银行IT和金融信息安全。其中'银行系统AI鉴权及音视频采集解决方案'暗示AI技术应用，但描述不详细，故AI证据级别为indirect。输入未提供收入占比，但产品项目较为明确，置信度75。,TRUE,85,银行IT、金融信息安全,FALSE,FALSE,低置信度,,
300663.SZ,科蓝软件,软件服务,TRUE,85,银行IT、金融信息安全、其他金融科技,第二轮复核-主营业务层面,结论一致,TRUE,75,银行IT、金融信息安全、其他金融科技,主营业务包括电子渠道及中台、互联网银行（含互联网核心）、网银安全产品等专为银行及金融机构提供的软件产品与解决方案，属于银行IT和金融信息安全赛道；国产数据库也服务于金融领域。但输入中没有明确的人工智能证据，且业务描述仍不完整，需要年报进一步验证。,TRUE,85,银行IT、金融信息安全、其他金融科技,FALSE,FALSE,低置信度,,
300773.SZ,拉卡拉,软件服务,TRUE,85,支付科技,第二轮复核-主营业务层面,结论一致,TRUE,75,支付科技,主营业务明确包含第三方支付和支付业务，属于支付科技范畴；科研服务可能涉及金融科技相关技术，但无明确AI证据。,TRUE,85,支付科技,FALSE,FALSE,非持牌金融相关主体,,
300130.SZ,新国都,IT设备,TRUE,80,支付科技,第二轮复核-主营业务层面,结论一致,TRUE,75,支付科技,主营业务明确包含收单服务、增值服务和电子支付，属于支付科技领域，但未提供AI相关证据。,TRUE,80,支付科技,FALSE,FALSE,低置信度,,
300465.SZ,高伟达,软件服务,TRUE,80,银行IT、证券IT,第二轮复核-主营业务层面,结论一致,TRUE,75,银行IT、证券IT,主营业务明确包含银行业和非银金融机构，且为软件开发及服务，但描述较宽泛，无AI证据。,TRUE,80,银行IT、证券IT,FALSE,FALSE,低置信度,,
600570.SH,恒生电子,软件服务,TRUE,80,财富管理科技、银行IT、证券IT、保险IT、金融数据、金融信息安全、其他金融科技,第二轮复核-主营业务层面,结论一致,TRUE,75,财富管理科技、银行IT、证券IT、保险IT、金融数据、金融信息安全、其他金融科技,主营业务明确包含财富科技、资管科技、运营与机构科技、企金保险核心与金融基础设施科技等专门金融科技服务，属于金融科技供应商。但输入中未出现任何AI相关词汇，因此AI证据缺失。,TRUE,80,财富管理科技、银行IT、证券IT、保险IT、金融数据、金融信息安全、其他金融科技,FALSE,FALSE,低置信度,,
603171.SH,税友股份,软件服务,TRUE,80,财税科技,第二轮复核-主营业务层面,结论一致,TRUE,75,财税科技,主营业务包含数智财税业务和数字政务业务，属于财税科技范畴，但描述较简略，无明确AI证据。,TRUE,80,财税科技,FALSE,FALSE,低置信度,,
603927.SH,中科软,软件服务,TRUE,80,保险IT,第二轮复核-主营业务层面,结论一致,TRUE,75,保险IT,主营业务披露中有'保险类'产品，表明公司为保险行业提供软件或解决方案，属于保险IT赛道。但描述为'定制软件收入'等通用名称，未提及具体产品名称或技术细节，且无AI证据。,TRUE,80,保险IT,FALSE,FALSE,低置信度,,
688318.SH,财富趋势,软件服务,TRUE,80,证券IT、金融数据,第二轮复核-主营业务层面,结论一致,TRUE,75,证券IT、金融数据,公司主营业务包括证券信息服务和软件服务收入，表明其向证券行业提供专用信息服务和软件产品，符合证券IT和金融数据赛道。但输入中没有明确AI证据。,TRUE,80,证券IT、金融数据,FALSE,FALSE,低置信度,,
