company_id,company_name,revenue_implied_yi,revenue_web_yi,abs_err_pct
000997.SZ,新大陆,87.62,87.58,0.046
002657.SZ,中科金财,8.56,8.56,0.0
300033.SZ,同花顺,60.3,60.29,0.017
300059.SZ,东方财富,160.62,160.68,0.037
300130.SZ,新国都,31.79,31.8,0.031
300468.SZ,四方精创,6.31,6.31,0.0
300541.SZ,先进数通,35.79,35.84,0.14
300803.SZ,指南针,21.47,21.46,0.047
300996.SZ,普联软件,8.25,8.25,0.0
600446.SH,金证股份,24.19,24.19,0.0
600570.SH,恒生电子,57.82,57.83,0.017
601788.SH,光大证券,108.51,108.52,0.009
603171.SH,税友股份,20.53,20.54,0.049
603927.SH,中科软,60.29,60.28,0.017
688318.SH,财富趋势,3.68,3.68,0.0
688590.SH,新致软件,21.08,21.07,0.047
