run,version,sample_id,parse_level,schema_ok,职位名称,最低薪资,最高薪资,薪资周期,工作地点,硬技能,软技能,学历要求,经验要求,AI相关技术栈要求
run1,v1,J01,text,False,AI实习生,,,,,数据标注 | 数据整理与分析 | 数据分析工具（如Excel | SQL） | WPS办公软件 | 基础数据分析能力,跨部门沟通协作 | 问题分析与解决能力 | 学习能力 | 严谨细致 | 积极主动 | 团队合作精神,全日制本科及以上在读（计算机、数据科学、人工智能、数学、统计学、语言学等专业优先）,有问答质检、内容审核等实习经验或AI项目经历者优先；需保证连续实习3个月以上,AI项目实施 | 数据标注 | 模型优化 | 具备机器学习基础知识者优先
run1,v1,J02,text,False,研究员,,,,,Python | Pandas | NumPy | Oracle | MySQL | NoSQL | 数据挖掘 | 机器学习 | 量化投资策略 | 因子挖掘 | 资产配置模型 | 英文文献阅读,责任心 | 好奇心 | 独立完成任务能力 | 团队合作精神,本科以上（金融工程、金融学、统计、数学、经济学、计算机等专业）,1年以上因子挖掘或策略构建经验,人工智能 | 机器学习 | 数据挖掘 | 量化算法模型（如Scikit-learn等常用库）
run1,v1,J03,text,False,数据AI工程师,,,,,Python | Java | C | SQL | Hadoop | Linux | 算法设计 | 推荐算法 | 数据分析 | 机器学习 | 数据抓取 | 清洗 | 挖掘 | 特征工程 | 大数据分布式平台 | Spark,分析和解决问题能力 | 沟通能力 | 团队合作精神,本科（985/211）及以上，计算机或相关专业,3年以上机器学习相关工作经验,机器学习 | 推荐算法 | 特征工程 | 深度学习框架（如TensorFlow | PyTorch）
run1,v1,J04,text,False,,,,,,Python | Java | C | C++ | SQL | Spark | Hadoop | Hive | TensorFlow | PyTorch | Mxnet | 机器学习 | 深度学习 | 自然语言处理 | 语音算法 | 推荐算法 | 风控算法 | 模型加速与性能优化 | 算法工程化 | 分布式算法,良好的沟通能力 | 团队协作能力 | 学习能力（AI岗位通常要求持续跟进前沿技术）,,,
run1,v1,J05,text,False,大数据开发工程师,,,,,Java | Python | SQL | Hive SQL | Spark | Kafka | 数据仓库建模 | 数据治理 | 元数据管理 | 报表开发 | 实时数仓 | 离线数仓架构,,本科及以上，计算机相关专业,6年以上数仓开发经验,AI Agent | Skill | MCP 智能服务
run1,v1,J06,text,False,Java（Java开发工程师）,,,,海淀,Java | SpringCloud | SpringBoot | SSM | SSH | Spring | MyBatis | Hibernate | Struts | JSP | Maven | Oracle | MySQL | TiDB | Redis | 多线程 | JS | jQuery | IDEA | Eclipse | Tomcat | Linux | Git | SVN | 设计模式 | IO | 集合,沟通能力 | 独立工作能力 | 责任心,统招全日制本科，学信网可查,3年以上Java编码开发经验,AI大模型（有相关经验者优先）
run1,v1,J07,text,False,ai解决方案工程师,,,,,售前解决方案 | 需求调研与分析 | 招投标 | POC | 大模型 | 机器学习 | 神经网络 | MCP | skills工作流搭建 | AI Agent | FDE | 金融信息化项目,沟通表达能力 | 方案汇报能力 | 跨部门协同能力,硕士及海外留学背景优先,至少5年解决方案从业经历，其中大模型/机器学习/神经网络等AI技术应用领域,大模型 | 机器学习 | 神经网络 | AI Agent | MCP | Skills | LLM应用开发
run1,v1,J08,text,False,web前端开发工程师,,,,,前端开发 | JavaScript | HTML5 | CSS3 | React | Vue3 | x6 | storybook | element-plus | vuedraggable | echarts | 动态表单 | H5开发 | 容器技术 | 微服务架构,需求理解与分析能力 | 团队合作精神 | 抗压能力 | 沟通能力,,,
run1,v1,J09,text,False,高级前端开发工程师,,,,,JavaScript | Vue | HTML5 | Oracle | 小程序开发 | Web前端开发 | W3C标准 | webpack | 前端工程化与模块化 | 前后端分离,对技术有热情 | 团队合作精神,全日制大学本科及以上，计算机及相关专业,本科毕业8年及以上，5年以上web前端开发经验,
run1,v1,J10,text,False,iOS开发工程师,,,,常州,Objective-C | Swift | Xcode | Git | MVC开发 | Hybrid开发 | iOS开发 | JavaScript | RN（React Native） | Weex | 性能优化,良好的编程习惯 | 沟通能力 | 学习能力,,,
run1,v1,J11,text,False,中级java开发工程师(济南恒丰岗),,,,济南,Java | SpringCloud | MyBatis | MySQL | SQL Server | Hadoop | Hive | 分布式 | 微服务 | 云计算 | 大数据 | 建行P2 | P8框架 | 信贷业务,,学信网可查全日制本科，计算机相关专业,2-8年工作经验，5年以上开发经验,大数据 | 云计算相关（无明确AI技术栈）
run1,v1,J12,strict,False,数据迁移工程师,,,,,Java | Spark | BI报表开发 | 数据迁移 | Oracle | DB2 | SQL | 存储过程 | ETL | SQL优化 | 数据库设计,沟通和表达能力 | 逻辑思维能力,本科,3年以上数据库系统设计、开发相关工作经验,
run1,v1,J13,text,False,Java工程师,,,,,Java | SQL | Spring | SpringMVC | Dubbo | Struts | 分布式技术 | 服务器配置 | SQL Server | Oracle | DB2 | MySQL | Tomcat | JBOSS | Weblogic | WebSphere | 单元测试,团队协作能力 | 责任心,统招本科及以上，计算机软件相关专业,未明确说明（一般要求1-3年）,
run1,v1,J14,text,False,初中高级-Java开发工程师,,,,,Java | Java EE | Spring | Struts | MyBatis | Oracle | SQL | 设计模式 | SOA,沟通能力 | 学习能力,本科，计算机相关专业,1-3年以上java开发经验,
run1,v1,J15,text,False,理财顾问,,,,,证券从业资格 | 基金从业资格 | 客户开发 | 客户服务 | 投资咨询 | 资产 | 财富管理 | 理财 | 同业销售 | 对机构销售 | 对个人客户销售 | 证券产品 | 基金产品 | 开户流程,善于沟通 | 团队荣誉感 | 团队协作精神 | 勤奋敬业 | 有激情 | 有耐性 | 抗压能力,专科以上（有客户基础或销售能力强者可适当放宽）,具有金融理财/财富管理相关工作经验，有金融业从业经历者优先,
run1,v1,J16,text,False,证券公司机构业务经理,,,,,机构销售 | IPO | 新三板 | 大宗交易 | 经纪业务 | 资产托管 | 尽职调查 | 渠道拓展 | 客户谈判 | 证券投资顾问资格 | 基金从业资格 | 营销活动组织,创新能力 | 抗压能力 | 沟通协调能力 | 大客户开发能力,全日制本科及以上（含内部转岗），金融、经济、会计、法律等相关专业,3年以上机构业务相关工作经验，3年以上金融从业经验,
run1,v1,J17,text,False,理财经理/团队经理,,,,,证券分析 | 证券经纪 | 客户开发 | 理财咨询 | 投资建议 | 资产配置 | 客户关系维护 | 证券从业资格,沟通能力 | 客户服务意识 | 团队管理能力,,,
run1,v1,J18,text,False,营业部副总经理,,,,全国区域,市场营销管理 | 市场营销 | 市场策划 | 市场开发 | 市场推广 | 商务渠道 | 业务拓展 | 团队搭建 | 发展规划制定 | 绩效评估,规划能力 | 组织策划能力 | 客户服务能力 | 资源整合能力 | 辅导培养能力 | 危机处理能力 | 领导力,本科及以上，金融等相关专业,3年及以上期货、证券、银行等相关行业从业经验,
run1,v1,J19,text,False,财富管理顾问,15000元,30000元,月,,高净值客户销售 | 客户适当性管理 | 客户开发 | 渠道合作 | 融资融券 | 个股期权 | 港股通 | 约定购回 | 证券从业资格 | 基金从业资格 | 客户资产归集 | 客户转介绍,沟通能力 | 客户服务能力 | 销售能力,,,
run1,v1,J20,text,False,投资顾问,7000元,12000元,月,,证券从业资格 | 基金从业资格 | 投资顾问资格 | 资产 | 财富管理 | 对机构销售 | 对高净值客户销售 | 对普通个人客户销售 | 理财产品配置 | 财富管理方案 | 财富保全 | 财富转移 | 家族企业治理,执行力 | 沟通协调能力 | 抗压能力,本科（含）以上学历,两年以上相关工作从业经验,
run1,v2,J01,strict,True,AI实习生,,,,,数据标注 | 数据整理 | 数据分析 | 数据分析工具 | WPS | 办公软件 | 文档编辑 | 数据统计,跨部门沟通与协作 | 问题发现、分析和解决能力 | 学习能力 | 工作严谨负责 | 注重细节 | 积极主动 | 团队合作精神 | 沟通意愿,全日制本科及以上学历在读,有问答质检、内容审核等实习经验或AI项目实施经历者优先,AI项目实施 | 模型优化
run1,v2,J02,strict,True,研究员,,,,,Python | Pandas | NumPy | Oracle | MySQL | NoSQL | 数据挖掘 | 机器学习 | 因子挖掘 | 量化投资策略 | 资产配置模型 | 资产管理 | 买方研究 | 中英文文献阅读能力 | 算法模型,责任心 | 好奇心 | 独立完成任务的能力 | 团队合作精神,本科以上,1年以上,人工智能 | 机器学习 | 数据挖掘 | 算法模型
run1,v2,J03,strict,True,数据AI工程师,,,,,Python | 算法设计 | Java | SQL | 推荐算法 | 数据分析 | Hadoop | Linux | C | 机器学习 | 数据抓取 | 数据清洗 | 数据挖掘 | 特征分析 | 大数据分布式平台 | 分布式系统架构,分析解决问题能力 | 沟通能力 | 团队合作精神,本科（985或211）及以上,3年以上,机器学习 | 推荐算法 | 算法设计
run1,v2,J04,repaired,True,算法工程师（机器学习、大模型方向）,,,,,语音算法 | Java | 深度学习 | 大模型算法 | 自然语言处理算法 | Spark | Hadoop | Hive | 算法工程化经验 | 风控算法 | 推荐算法 | SQL | C/C++ | 机器学习 | 模型加速/性能优化 | Python | Tensorflow | Pytorch | Mxnet | 分布式算法 | 数据挖掘 | 数学基础,,本科及以上,1年及以上,深度学习 | 机器学习 | 大模型 | CV | NLP | 多模态 | Tensorflow | Pytorch | Mxnet | 语音算法 | 推荐算法 | 风控算法 | 数据挖掘 | 文本分类 | 语义理解 | 情感分析 | 意图识别 | 实体抽取 | 关系抽取 | 自然语言生成
run1,v2,J05,strict,True,大数据开发工程师,,,,,Java | Kafka | Spark | Python | SQL | Hive SQL | 数据仓库建模 | 数据治理 | 元数据管理 | 报表开发 | 实时数仓 | 数据平台开发 | AI Agent | MCP | Skill,,本科及以上,6年以上,AI Agent | Skill | MCP | ai
run1,v2,J06,strict,True,Java,,,,海淀,Java | Hibernate | SpringCloud | MySQL | 多线程 | MyBatis | Redis | SSH | SpringBoot | Spring | Oracle | SSM | js | jquery | idea | eclipse | tomcat | linux | tidb | maven | struts | jsp | Git | SVN | 设计模式 | io | 集合,主动沟通反馈 | 独立完成工作的能力,统招全日制本科（学信网可查）,3年以上,ai大模型
run1,v2,J07,strict,True,ai解决方案工程师,,,,,金融信息化项目 | 售前技术支持 | FDE | AI agent | 大模型 | 机器学习 | 招投标 | 需求调研与分析 | 解决方案编写 | POC | 神经网络 | MCP | skills,汇报能力 | 跨条线协同能力,硕士及海外留学背景优先,至少5年,AI agent | 大模型 | 机器学习 | 神经网络 | MCP | skills
