id,label,type,layer,weight,meta,degree_centrality,betweenness
CLUSTER::可信与底座,可信与底座,CLUSTER,1,0.0,,0.0161,0.0048
CLUSTER::感知与生成,感知与生成,CLUSTER,1,0.0,,0.0323,0.0197
CLUSTER::认知与推理,认知与推理,CLUSTER,1,0.0,,0.0323,0.03
AI_ENGINEERING,AI工程化与算力底座,TECH,2,6.419,5家/17句,0.0806,0.0758
APP_INTERNAL,内部提效应用,APP,3,2.25,5家/6句,0.0806,0.067
PRODUCT_CREDIT,智能信贷,PRODUCT,3,4.656,6家/12句,0.1048,0.1165
PRODUCT_CUSTOMER,智能客服与营销,PRODUCT,3,6.503,11家/18句,0.1452,0.1275
PRODUCT_FINANCE,智能财务与司库,PRODUCT,3,0.386,1家/1句,0.0403,0.0347
PRODUCT_FRAUD,反欺诈与合规,PRODUCT,3,2.767,5家/6句,0.0726,0.088
PRODUCT_INSURANCE,智能保险,PRODUCT,3,2.246,3家/6句,0.0403,0.0345
PRODUCT_INVEST,智能投研与财富管理,PRODUCT,3,11.756,12家/38句,0.1452,0.1027
PRODUCT_PAYMENT,智能支付与清算,PRODUCT,3,5.688,6家/11句,0.0806,0.0966
TECH_CV,计算机视觉,TECH,2,8.11,7家/18句,0.1129,0.0821
TECH_DECISION,智能决策与预测,TECH,2,4.203,10家/11句,0.1452,0.171
TECH_KG,知识图谱,TECH,2,1.915,3家/4句,0.0645,0.0672
TECH_LLM,大模型与生成式AI,TECH,2,53.12,27家/131句,0.2903,0.3888
TECH_ML,机器学习与深度学习,TECH,2,2.347,5家/8句,0.0806,0.0638
TECH_NLP,自然语言处理,TECH,2,1.139,3家/3句,0.0726,0.0733
TECH_PRIVACY,隐私计算与可信AI,TECH,2,0.942,2家/2句,0.0484,0.0569
TECH_RL,强化学习与智能优化,TECH,2,1.299,3家/3句,0.0645,0.0698
TECH_SPEECH,智能语音,TECH,2,1.263,4家/4句,0.0726,0.0683
000750.SZ,国海证券,COMPANY,4,0.323,证据2句,0.0081,0.0
000987.SZ,越秀资本,COMPANY,4,0.42,证据1句,0.0081,0.0
000997.SZ,新大陆,COMPANY,4,3.535,证据8句,0.0161,0.007
002647.SZ,仁东控股,COMPANY,4,1.098,证据3句,0.0242,0.0237
002657.SZ,中科金财,COMPANY,4,5.261,证据19句,0.0323,0.0243
002670.SZ,国盛证券,COMPANY,4,0.406,证据1句,0.0081,0.0
002721.SZ,金一文化,COMPANY,4,0.439,证据2句,0.0081,0.0
002987.SZ,京北方,COMPANY,4,2.981,证据7句,0.0242,0.0044
300033.SZ,同花顺,COMPANY,4,15.304,证据33句,0.0323,0.0144
300059.SZ,东方财富,COMPANY,4,8.385,证据14句,0.0403,0.0372
300085.SZ,银之杰,COMPANY,4,4.26,证据9句,0.0403,0.0243
300130.SZ,新国都,COMPANY,4,2.118,证据3句,0.0242,0.0158
300180.SZ,华峰超纤,COMPANY,4,2.663,证据7句,0.0323,0.0162
300348.SZ,长亮科技,COMPANY,4,5.592,证据13句,0.0403,0.0971
300377.SZ,赢时胜,COMPANY,4,3.858,证据16句,0.0323,0.0104
300380.SZ,安硕信息,COMPANY,4,1.007,证据2句,0.0081,0.0
300465.SZ,高伟达,COMPANY,4,1.005,证据4句,0.0161,0.0
300468.SZ,四方精创,COMPANY,4,0.556,证据5句,0.0161,0.0018
300541.SZ,先进数通,COMPANY,4,3.115,证据9句,0.0242,0.0074
300542.SZ,新晨科技,COMPANY,4,2.391,证据5句,0.0242,0.0032
300561.SZ,汇金科技,COMPANY,4,1.716,证据4句,0.0242,0.0068
300663.SZ,科蓝软件,COMPANY,4,12.072,证据29句,0.0484,0.0337
300674.SZ,宇信科技,COMPANY,4,3.223,证据5句,0.0161,0.0
300803.SZ,指南针,COMPANY,4,1.199,证据4句,0.0161,0.0007
300941.SZ,创识科技,COMPANY,4,0.458,证据1句,0.0081,0.0
300996.SZ,普联软件,COMPANY,4,2.864,证据6句,0.0323,0.0179
600446.SH,金证股份,COMPANY,4,1.763,证据5句,0.0161,0.0
600570.SH,恒生电子,COMPANY,4,4.71,证据7句,0.0323,0.0104
600906.SH,财达证券,COMPANY,4,1.35,证据2句,0.0323,0.0088
600928.SH,西安银行,COMPANY,4,0.978,证据2句,0.0242,0.0013
601059.SH,信达证券,COMPANY,4,0.41,证据1句,0.0081,0.0
601788.SH,光大证券,COMPANY,4,0.774,证据1句,0.0161,0.0
603093.SH,南华期货,COMPANY,4,0.767,证据1句,0.0161,0.0
603123.SH,翠微股份,COMPANY,4,0.458,证据1句,0.0081,0.0
603171.SH,税友股份,COMPANY,4,3.139,证据7句,0.0242,0.0201
603927.SH,中科软,COMPANY,4,3.796,证据10句,0.0403,0.0401
688318.SH,财富趋势,COMPANY,4,4.861,证据13句,0.0565,0.0903
688590.SH,新致软件,COMPANY,4,7.757,证据18句,0.0726,0.1483
KW::大模型,大模型,KEYWORD,0,31.0,31家公司提及,0.0081,0.0
KW::智能体,智能体,KEYWORD,0,18.0,18家公司提及,0.0081,0.0
KW::智能风控,智能风控,KEYWORD,0,10.0,10家公司提及,0.0081,0.0
KW::算力,算力,KEYWORD,0,9.0,9家公司提及,0.0081,0.0
KW::RAG,RAG,KEYWORD,0,8.0,8家公司提及,0.0081,0.0
KW::智能营销,智能营销,KEYWORD,0,8.0,8家公司提及,0.0081,0.0
KW::财富管理,财富管理,KEYWORD,0,8.0,8家公司提及,0.0081,0.0
KW::信贷,信贷,KEYWORD,0,7.0,7家公司提及,0.0081,0.0
KW::智能客服,智能客服,KEYWORD,0,7.0,7家公司提及,0.0081,0.0
KW::智能问答,智能问答,KEYWORD,0,7.0,7家公司提及,0.0081,0.0
KW::数字人,数字人,KEYWORD,0,7.0,7家公司提及,0.0081,0.0
KW::机器学习,机器学习,KEYWORD,0,6.0,6家公司提及,0.0081,0.0
KW::AI Agent,AI Agent,KEYWORD,0,6.0,6家公司提及,0.0081,0.0
KW::模型训练,模型训练,KEYWORD,0,6.0,6家公司提及,0.0081,0.0
KW::智能决策,智能决策,KEYWORD,0,6.0,6家公司提及,0.0081,0.0
