category,岗位数,公司数,薪资中位数K,R_data,S_data,D_data,A_data,H_data,R_expert,S_expert,D_expert,A_expert,H_expert,R,S,D,A,H,Risk,风险等级,风险排名,聚类分层,是否金融核心岗,专家先验依据
信贷与授信审批,8,5,12.0,46.38,50.8,34.68,10.0,46.13,78.0,85.0,82.0,80.0,38.0,75.34,82.12,76.02,71.16,39.03,73.8,高替代风险,1,聚类-高替代,True,标准化零售信贷已由评分卡与自动审批替代；但大额、非标、异常案件仍需人工承担责任。
财务会计核算,55,14,7.5,90.0,36.7,31.52,10.0,22.47,88.0,90.0,85.0,85.0,25.0,88.52,76.2,64.24,55.88,24.02,72.8,高替代风险,2,聚类-高替代,True,凭证—账簿—报表链条高度标准化，会计准则即规则，数据早已电子化，OCR+RPA+规则引擎已工程化落地。
数据分析与数据工程,154,22,13.5,37.9,33.71,90.0,49.54,23.65,58.0,60.0,95.0,78.0,45.0,51.27,51.2,92.49,63.71,34.28,64.2,中等替代风险,3,聚类-中替代,False,取数、清洗、看板高度可自动化（Text2SQL 已成熟），但指标口径定义与业务归因仍依赖人。
风险管理,20,8,12.5,58.67,90.0,21.63,14.7,64.4,55.0,72.0,85.0,75.0,55.0,55.59,74.88,69.79,60.53,57.26,61.3,中等替代风险,4,聚类-高替代,True,风险特征识别与监控预警模型成熟，但风险偏好设定、极端情形判断与问责属于人类。
财务分析与财税咨询,37,3,14.0,45.98,76.94,17.59,10.0,90.0,62.0,68.0,80.0,72.0,48.0,58.46,69.97,59.32,51.46,61.92,56.5,中等替代风险,5,聚类-高替代,True,指标计算与报告撰写可由 LLM 完成，但税务筹划与业务解释需结合企业情境判断。
合规审计与法务,28,13,10.5,63.62,55.92,27.91,19.97,69.74,52.0,80.0,70.0,62.0,62.0,54.24,75.35,57.81,49.83,64.24,55.5,中等替代风险,6,聚类-高替代,True,条文比对、底稿抽样可自动化，但法律解释、监管沟通与责任签字不可让渡。
算法与AI工程,72,19,20.25,23.76,38.85,60.33,90.0,33.34,38.0,45.0,95.0,58.0,70.0,33.98,43.26,80.32,71.55,54.47,54.4,中等替代风险,7,聚类-中替代,False,本身是 AI 的生产者，代码层可被 Copilot 类工具替代，但问题定义与模型治理不可替代。
软件研发与测试运维,966,28,12.5,10.0,19.4,68.29,23.4,10.0,55.0,58.0,92.0,72.0,45.0,37.54,43.03,78.2,43.72,24.63,53.7,中等替代风险,8,聚类-中替代,False,代码生成与用例生成成熟度快速上升，但系统设计与线上故障处置仍需人。
投资研究与投行,63,15,10.5,34.37,23.7,20.76,13.96,34.43,42.0,45.0,78.0,60.0,70.0,39.93,39.23,54.73,41.29,55.54,43.7,中等替代风险,9,聚类-低替代,True,数据整理与初稿撰写可 AI 化，但投资判断、尽调访谈、交易撮合依赖信任与经验。
其他运营支持,290,35,10.5,49.15,24.73,23.17,16.82,38.27,50.0,55.0,45.0,40.0,60.0,49.69,44.03,33.13,27.4,48.18,41.1,中等替代风险,10,聚类-低替代,False,构成复杂，含行政、后勤与管理岗，取中性先验。
产品与需求管理,230,28,15.0,24.07,38.29,41.48,25.29,72.75,35.0,42.0,70.0,55.0,75.0,31.13,40.69,54.86,39.23,73.81,38.7,低替代风险,11,聚类-低替代,False,文档与原型可 AI 辅助，但需求取舍、跨部门协调是典型的人类协商任务。
财富管理与投资顾问,732,15,8.5,36.46,10.0,10.0,10.17,24.58,40.0,45.0,55.0,52.0,82.0,38.64,31.55,29.06,27.89,48.9,35.0,低替代风险,12,聚类-低替代,True,资产配置建议可由智能投顾产出，但客户信任、情绪安抚与合规适当性沟通高度依赖人。
客户营销与销售,599,31,10.5,46.54,16.62,14.04,12.86,61.4,45.0,42.0,45.0,45.0,85.0,45.59,32.33,27.31,26.64,71.52,32.9,低替代风险,13,聚类-低替代,True,线索筛选与话术生成可 AI 化，但成交依赖人际信任，属最难替代的一端。
