sentence_id,company_id,company_name,section,pdf_page,candidate_label,rerank_score_v1,rerank_score_v2,scorer_used,score_used,threshold_used,hard_gate_pass,hard_gate_reason,strong_anchor,anchor_terms,label_mode,attribution_final,attribution_source,status_final,status_source,final_label,final_reason,confidence,countable,document_text,manual_ai_relevant,manual_label_valid,manual_attribution,manual_status,manual_table_quality,manual_correct_labels,manual_exclusion_reason,manual_note,lsa_cos,score_norm,lsa_norm,semantic_score,conf_w,edge_weight
CAND-00002,000750.SZ,国海证券,业务概要,1,PRODUCT_INVEST,0.294922,0.047426,rerank_score_v1,0.294922,0.27,1,ANCHOR_OK,1,财富管理|股票|基金|投资|理财|资产配置,SCORE_LED,COMPANY,EXPLICIT,APPLIED,ANCHOR_INFER,ACCEPT,PASS_ALL,LOW,0,公司财富管理业务代理客户买卖股票、债券、基金、期货及其他可交易证券，根据客户需求提供全方位、可定制的投资顾问、理财规划、资产配置等服务，同时为专业投资者提供基金运营、投资交易风控系统等服务。,0.0,,,,,,,,0.5866009132230083,0.2525335511673938,0.7108859205733445,0.48170973587036914,0.25,0.17225646038055537
CAND-00003,000750.SZ,国海证券,业务概要,4,PRODUCT_INVEST,0.294922,0.00038,rerank_score_v1,0.294922,0.27,1,ANCHOR_OK,1,资产配置|资管,SCORE_LED,COMPANY,SECTION_INHERIT:业务概要,APPLIED,ANCHOR_INFER,ACCEPT,PASS_ALL,LOW,0,传媒、海外、化工、银行、汽车、商社、电新、农业等行业在各大权威评选中具有品牌影响力，在政策、大宗商品、地缘政治、资产配置、新材料、房地产、潮玩、可转债、美债、铝、中药、风电、大众品、游戏、AIGC、港美股、区块链等方向形成了鲜明的特色，荣获新财富杂志、新浪金麒麟、水晶球、全国保险资管协会、金牛奖等最佳分析师权威评选奖项。,0.0,,,,,,,,0.34890310123018875,0.2525335511673938,0.4270319080798857,0.33978272962363976,0.25,0.15096740944354597
CAND-00005,000987.SZ,越秀资本,研发投入,10,TECH_LLM,0.730469,0.156105,rerank_score_v1,0.730469,0.57,1,ANCHOR_OK,1,大模型,SCORE_LED,COMPANY,SECTION_INHERIT:研发投入,APPLIED,ORIGINAL,ACCEPT,PASS_ALL,MEDIUM,1,升级创新工具底座，接入新一代大模型并引入低代码平台，成功应用于数据填报等场景，并探索资本市场商机挖掘等高阶应用，有效提升运营效率。,1.0,,,,,,,,0.23277497597593055,0.7142651169345339,0.28835400423043883,0.5013095605824863,0.6,0.4204714418096951
CAND-00012,000997.SZ,新大陆,核心竞争力,7,AI_GENERAL,0.349609,0.754915,score_mean,0.552262,0.5,1,GENERIC_AI_OK,0,,SCORE_LED,COMPANY,EXPLICIT,APPLIED,ORIGINAL,ACCEPT,PASS_ALL,LOW,0,上述交叉优势进而推动了公司将AI 能力推向行业数字化建设，在商户运营、政务服务、智慧交通、数字身份安全等应用场景中逐渐显现，全方位赋能线下商业场景、制造业等领域的数字化转型升级。,1.0,,,,,,,,,0.5253445248040296,0.29267191119686864,0.4090082180004491,0.25,0.16135123270006738
CAND-00014,000997.SZ,新大陆,研发投入,18,PRODUCT_PAYMENT,0.917969,0.348645,rerank_score_v1,0.917969,0.33,1,ANCHOR_OK,1,支付,SCORE_LED,COMPANY,SECTION_INHERIT:研发投入,R_AND_D,ORIGINAL,ACCEPT,PASS_ALL,MEDIUM,1,主要研发项目名称：人工智能赋能的高端智能支付系统软件研发。,1.0,,,,,,,,0.2857436509836031,0.9130373931328288,0.3516081453238538,0.6323227692283413,0.6,0.4676361969222028
CAND-00014,000997.SZ,新大陆,研发投入,18,AI_GENERAL,0.980469,0.201813,score_mean,0.591141,0.5,1,GENERIC_AI_OK,0,,SCORE_LED,COMPANY,SECTION_INHERIT:研发投入,R_AND_D,ORIGINAL,ACCEPT,PASS_ALL,LOW,0,主要研发项目名称：人工智能赋能的高端智能支付系统软件研发。,1.0,,,,,,,,,0.5665608838777016,0.29267191119686864,0.42961639753728514,0.25,0.16444245963059279
CAND-00015,000997.SZ,新大陆,研发投入,18,PRODUCT_PAYMENT,0.894531,0.100879,rerank_score_v1,0.894531,0.33,1,ANCHOR_OK,0,商户,SCORE_LED,COMPANY,SECTION_INHERIT:研发投入,R_AND_D,ORIGINAL,ACCEPT,PASS_ALL,LOW,0,主要研发项目名称：商户AI 智能审核平台。,1.0,,,,,,,,0.07710490818111188,0.8881903285486387,0.1024558968889087,0.49532311271877366,0.25,0.17429846690781606
CAND-00016,000997.SZ,新大陆,研发投入,18,PRODUCT_PAYMENT,0.777344,0.268941,rerank_score_v1,0.777344,0.33,1,ANCHOR_OK,1,支付,SCORE_LED,COMPANY,SECTION_INHERIT:研发投入,R_AND_D,ORIGINAL,ACCEPT,PASS_ALL,MEDIUM,1,主要研发项目名称：基于银联一体化终端安全规范与开放生态的技术创新下的智能支付终端系统研发。,1.0,,,,,,,,0.3960215137245007,0.7639581859841076,0.48329978171616633,0.623628983850137,0.6,0.46450643418604926
CAND-00017,000997.SZ,新大陆,研发投入,18,PRODUCT_PAYMENT,0.941406,0.989013,rerank_score_v1,0.941406,0.33,1,ANCHOR_OK,1,支付,SCORE_LED,COMPANY,EXPLICIT,R_AND_D,SECTION_INFER,ACCEPT,PASS_ALL,HIGH,1,拟达到的目标：构筑公司智能支付核心技术壁垒。,1.0,,,,,,,,0.44652810003263876,0.9378833975982124,0.5436137453185964,0.7407485714584043,1.0,0.8444491428750427
CAND-00018,000997.SZ,新大陆,研发投入,18,PRODUCT_PAYMENT,0.933594,0.453262,rerank_score_v1,0.933594,0.33,1,ANCHOR_OK,1,支付,SCORE_LED,COMPANY,SECTION_INHERIT:研发投入,R_AND_D,ORIGINAL,ACCEPT,PASS_ALL,MEDIUM,1,项目目的：开发安全合规的智能支付终端。,1.0,,,,,,,,0.6417831795956774,0.9296017494826867,0.7767834885696294,0.8531926190261581,0.6,0.5471493428494169
CAND-00019,000997.SZ,新大陆,研发投入,18,PRODUCT_PAYMENT,0.730469,0.437823,rerank_score_v1,0.730469,0.33,1,ANCHOR_OK,1,支付,SCORE_LED,COMPANY,SECTION_INHERIT:研发投入,R_AND_D,ORIGINAL,ACCEPT,PASS_ALL,MEDIUM,1,项目目的：构建 AI 驱动的智能支付核心。,1.0,,,,,,,,0.6243065502198782,0.7142651169345339,0.7559132444071316,0.7350891806708327,0.6,0.5046321050414998
CAND-00019,000997.SZ,新大陆,研发投入,18,AI_GENERAL,0.933594,0.112795,score_mean,0.5231945,0.5,1,GENERIC_AI_OK,0,,SCORE_LED,COMPANY,SECTION_INHERIT:研发投入,R_AND_D,ORIGINAL,ACCEPT,PASS_ALL,LOW,0,项目目的：构建 AI 驱动的智能支付核心。,1.0,,,,,,,,,0.49452952139926193,0.29267191119686864,0.39360071629806526,0.25,0.15904010744470978
CAND-00020,000997.SZ,新大陆,研发投入,18,TECH_DECISION,0.976562,0.173288,rerank_score_v2,0.173288,0.17,1,ANCHOR_OK,1,智能风控,SCORE_LED,COMPANY,EXPLICIT,R_AND_D,SECTION_INFER,ACCEPT,PASS_ALL,HIGH,1,预计对公司未来发展的影响：提升数字商业板块智能风控能力。,1.0,,,,,,,,0.25789013176876036,0.12358706027084226,0.31834602513473065,0.22096654270278646,1.0,0.5325799256216719
CAND-00022,002537.SZ,海联金汇,核心竞争力,7,AI_GENERAL,0.46875,0.851953,score_mean,0.6603515,0.5,1,GENERIC_AI_OK,0,,SCORE_LED,COMPANY,EXPLICIT,APPLIED,ORIGINAL,ACCEPT,PASS_ALL,LOW,0,在数字化转型升级过程中，公司积极推动AI 技术与业务场景深度融合，围绕合同评审、办公协同、数据分析等环节全面落地智能应用，助力管理提效。,1.0,,,,,,,,,0.6399322365274195,0.29267191119686864,0.46630207386214406,0.25,0.1699453110793216
CAND-00025,002647.SZ,仁东控股,业务概要,1,PRODUCT_PAYMENT,0.914062,0.007577,rerank_score_v1,0.914062,0.33,1,ANCHOR_OK,1,支付|POS|付款|商户,SCORE_LED,COMPANY,SECTION_INHERIT:业务概要,APPLIED,ORIGINAL,ACCEPT,PASS_ALL,MEDIUM,1,经过不断地丰富和发展，目前合利宝业务涵盖智慧零售、金融科技、跨境支付、电商文化、旅游出行、教育考试等多个领域，推出了多种创新扫码支付产品，比如智能POS 机、4G 云音响、4G 语音台卡、立牌、贴纸等，智慧支付解决方案已聚合多种支付渠道，涵盖支付宝、微信、云闪付等多种支付方式，能够满足消费者多样化的付款需求，显著提高商家收银效率，为数百万商户提供可靠的支付及增值服务，交易额稳居头部，是国内领先的第三方支付机构。,1.0,,,,,,,,0.5037785502452471,0.9088955089562596,0.6119810974353957,0.7604383031958277,0.6,0.513757789150498
CAND-00027,002647.SZ,仁东控股,核心竞争力,3,PRODUCT_CUSTOMER,0.933594,0.191933,rerank_score_v2,0.191933,0.19,1,ANCHOR_OK,1,客服,SCORE_LED,COMPANY,SECTION_INHERIT:核心竞争力,R_AND_D,ORIGINAL,ACCEPT,PASS_ALL,MEDIUM,1,为满足客户便捷化的服务需求，合利宝智能客户系统实现全新升级，能自主优化系统流程，提升人机协作水平，准确理解用户需求并解决问题，目前合利宝已搭建包括智能客服系统、人工客服等在内的全新多元化客服载体，随时对用户发起的提问做出响应。,1.0,,,,,,,,0.5231356684446116,0.1433529754160007,0.6350969840526682,0.38922497973433445,0.6,0.3801209927043604
CAND-00029,002647.SZ,仁东控股,研发投入,8,TECH_DECISION,0.730469,0.859664,rerank_score_v2,0.859664,0.17,1,ANCHOR_OK,0,风控模型,SCORE_LED,COMPANY,SECTION_INHERIT:研发投入,R_AND_D,ORIGINAL,ACCEPT,PASS_ALL,LOW,0,争护城河：基于大数据构建智能化、系统化的风控机制，聚焦于事前智能化风险评估与事后系统化交易核验，并结合事中多维度风控模型，形成覆盖交易全流程、智能化的风险监测体系。,1.0,,,,,,,,0.43712688321865334,0.851227166126207,0.5323869986666274,0.6918070823964172,0.25,0.20377106235946257
CAND-00032,002657.SZ,中科金财,业务概要,1,TECH_CV,0.349609,0.024423,rerank_score_v1,0.349609,0.3,1,ANCHOR_OK,1,OCR,SCORE_LED,COMPANY,MIXED_OTHER_PARTY,COMMERCIAL,ORIGINAL,ACCEPT,PASS_ALL,LOW,0,公司与阿里云、百度、火山引擎等头部厂商建立了稳固共赢的生态合作，合作范围覆盖基础设施、平台工具、产品实施、场景交付全链条服务，解决方案及应用更趋多元丰富，覆盖AI 原生智能体平台、知识库、智能营销、智能问数、全流程智能贷款、手机银行、OCR、客户画像等核心场景，合作客户覆盖股份制、城商行、农商农信、证券、保险等金融机构。,1.0,,,,,,,,0.05011649102802433,0.31050826833249323,0.07022686442317189,0.19036756637783256,0.25,0.1285551349566749
CAND-00038,002657.SZ,中科金财,业务概要,1,TECH_LLM,0.796875,0.005555,rerank_score_v1,0.796875,0.57,1,ANCHOR_OK,1,大模型|智能体|多模态,SCORE_LED,COMPANY,EXPLICIT,APPLIED,ORIGINAL,ACCEPT,PASS_ALL,MEDIUM,1,截至目前，公司在人工智能领域累计获得《基于大模型的本体建模平台V1.0》《基于本体的智能问数平台V1.0》《AI 业务流程智能体原生平台V1.0》《多模态大模型数据集及数据管理平台V1.0》《银行大模型应用及大模型管理平台 V1.0》《多模态AI 视频工具平台 V1.0》等178项软件著作权、13项发明专利。,1.0,,,,,,,,0.3682969786215158,0.7846633663917284,0.45019169179510415,0.6174275290934162,0.6,0.46227391047362987
CAND-00040,002657.SZ,中科金财,业务概要,1,AI_GENERAL,0.320312,0.932453,score_mean,0.6263825,0.5,1,GENERIC_AI_OK,0,,SCORE_LED,COMPANY,EXPLICIT,APPLIED,ORIGINAL,ACCEPT,PASS_ALL,LOW,0,报告期内，公司在AI 本体应用、AI Agent 等方向投入研发，并形成解决方案。,1.0,,,,,,,,,0.6039210607931268,0.29267191119686864,0.4482964859949977,0.25,0.16724447289924965
CAND-00045,002657.SZ,中科金财,核心竞争力,6,TECH_LLM,0.707031,0.00629,rerank_score_v1,0.707031,0.57,1,ANCHOR_OK,1,大模型,SCORE_LED,COMPANY,MIXED_OTHER_PARTY,APPLIED,ORIGINAL,ACCEPT,PASS_ALL,LOW,0,AI 头部厂商在算力供给、大模型研发及产品工具领域优势显著，公司凭借深耕金融领域二十余年的场景落地能力与其形成了高度战略互补。,1.0,,,,,,,,0.2545093956953347,0.6894180523503438,0.31430881717064457,0.5018634347604942,0.25,0.17527951521407414
