revised_fintech_related,revised_ai_evidence_level,revised_tracks,revised_business_materiality,revised_confidence,genuine_finance_evidence,excluded_generic_smart_business_terms,is_pseudo_fintech_false_positive,entity_type_seems_misclassified,entity_type_reason,reason,recommend_manual_review,recheck_key,ts_code,name,industry,round1_financial_entity_type,round1_financial_entity_categories,round1_fintech_related,round1_confidence,round1_tracks,round1_reason,recheck_trigger,recheck_model,recheck_prompt_tokens,recheck_completion_tokens,recheck_total_tokens,recheck_status
True,explicit,银行IT、AI金融基础设施,core,85,银行影像解决方案、人工智能综合服务、银行,,False,False,主营业务明确包含面向银行的解决方案，但公司自身非持牌金融机构，故规则判定为“非金融主体”合理，不构成误判。,主营业务构成中明确列出“银行影像解决方案”和“人工智能综合服务”，且按行业口径银行客户收入占比高，直接指向为银行提供技术产品和服务，符合金融科技定义。未发现泛化智能化表述误导。与第一轮结论一致。,False,002657.SZ,002657.SZ,中科金财,软件服务,非金融主体,,True,75,银行IT、AI金融基础设施,主营业务包含银行专用解决方案'银行影像解决方案'以及'人工智能综合服务'，明确涉及金融科技和AI技术，但输入未提供业务细节，故置信度85，需年报验证。,低置信度,deepseek-v4-pro,1985,250,2235,completed
True,indirect,财富管理科技、支付科技、智能风控,core,80,财富管理及金融市场业务解决方案、支付清算业务解决方案、智能数字化客户服务解决方案、银行客户,,False,False,金融主体类别“资产管理”源于关键词“财富管理”，且业务描述中明确列出“财富管理及金融市场业务解决方案”，与金融业务直接相关，无偶然匹配迹象。,业务描述明确包含面向金融场景的解决方案（财富管理、支付清算、智能数字化客户服务），且银行客户收入占比显著，符合金融科技定义；AI证据为间接（‘智能’），但整体证据充分，维持金融科技相关判定。,False,002721.SZ,002721.SZ,金一文化,服饰,金融相关主体,资产管理,True,75,财富管理科技、支付科技、智能风控,主营业务包含明确的金融科技解决方案（财富管理、支付清算、智能数字化客户服务），且银行客户收入显著，但AI证据仅为'智能'一词，属于间接证据，需要年报验证。,非持牌金融相关主体,deepseek-v4-pro,2723,273,2996,completed
True,explicit,银行IT、智能风控、金融数据、其他金融科技,core,90,金融科技解决方案、智慧客服及消费金融精准营销、非银金融机构、银行、人工智能及大数据创新产品,,False,False,金融主体类型命中'金融科技服务商'合理，因业务明确包含金融科技解决方案且主要客户为银行等金融机构。,公司主营业务明确包含面向银行等金融机构的金融科技解决方案、消费金融精准营销，且具备人工智能及大数据创新产品，满足金融科技定义。非泛化智能化表述，第一轮结论基本正确。,False,002987.SZ,002987.SZ,京北方,软件服务,金融相关主体,金融科技服务商,True,75,银行IT、其他金融科技,主营业务明确包含金融科技解决方案，且有人工智能及大数据创新产品，表明公司从事金融科技业务并具有AI能力；但具体产品细节不足。,非持牌金融相关主体,deepseek-v4-pro,2530,262,2792,completed
True,explicit,银行IT、金融信息安全,core,85,银行现金及重控物品管理解决方案、银行自助设备现金管理系统解决方案、银行系统AI鉴权及音视频采集解决方案、密码安全解决方案,,False,False,金融主体类型判定为非金融主体正确，因行业、主营业务和公司名称均未命中金融主体规则，实际业务是向银行提供技术解决方案而非持牌金融业务。,公司主营业务明确包括面向银行的现金管理、自助设备管理、AI鉴权及音视频采集、密码安全等解决方案，直接服务于银行金融场景，且应用了AI技术，属于典型的金融科技（银行IT、金融信息安全）。第一轮结论可信，复核提高置信度因证据充分且排除泛化智能化误导。,False,300561.SZ,300561.SZ,汇金科技,软件服务,非金融主体,,True,75,银行IT、金融信息安全,主营业务包括银行专用解决方案（现金管理、自助设备现金管理）和密码安全解决方案，表明公司向银行提供专用软件和系统，属于银行IT和金融信息安全。其中'银行系统AI鉴权及音视频采集解决方案'暗示AI技术应用，但描述不详细，故AI证据级别为indirect。输入未提供收入占比，但产品项目较为明确，置信度75。,低置信度,deepseek-v4-pro,2607,292,2899,completed
True,none,支付科技,important,80,金融科技服务、第三方支付业务,智能制造,False,False,金融主体类型命中'第三方支付、金融科技服务'与主营构成中的'金融科技服务'和'第三方支付业务'吻合，分类合理。,第一轮结论正确，公司主营构成中明确包含金融科技服务和第三方支付业务，属于支付科技赛道，但缺乏AI技术证据，置信度调整为80。,False,002537.SZ,002537.SZ,海联金汇,汽车配件,金融相关主体,支付清算、金融科技服务商,True,75,支付科技,主营业务包含'金融科技服务'和'第三方支付业务'，直接表明从事金融科技中的支付科技，但无AI技术证据，且未披露具体产品细节。,非持牌金融相关主体,deepseek-v4-pro,2364,218,2582,completed
True,none,金融数据、财富管理科技、其他金融科技,core,85,金融信息服务、基金销售及其他交易手续费等其他业务,,False,False,主营业务明确为金融信息服务与基金销售，金融科技属性真实，分类合理。,公司主营业务为金融信息服务、基金销售等，直接面向金融场景，构成金融科技核心业务，赛道归属金融数据、财富管理科技等合理；未出现AI相关描述，AI证据为none，整体置信度较高。,False,300033.SZ,300033.SZ,同花顺,软件服务,金融相关主体,其他金融相关,True,75,金融数据、财富管理科技、其他金融科技,主营业务为金融信息服务、基金销售等，明确面向金融场景，属于金融数据、财富管理科技和其他金融科技赛道。未出现人工智能相关表述，AI证据为none。,非持牌金融相关主体,deepseek-v4-pro,2026,233,2259,completed
False,none,,none,85,,,True,False,金融主体类型判定为'非金融主体'，规则未命中，与业务描述一致，无金融相关关键词或公司名称模式匹配。,主营业务构成中虽有'金融行业'收入分类，但仅为行业维度披露，未出现任何面向金融行业的具体产品、系统或技术解决方案描述，缺乏金融科技核心要素。'应用软件及服务'等表述泛指软件业务，未体现AI、大数据等技术手段服务于金融机构的证据，因此不得认定为金融科技。第一轮结论过度依赖'金融行业'分类进行推测，不符合严格标准。,False,300047.SZ,300047.SZ,天源迪科,软件服务,非金融主体,,True,75,银行IT、金融数据,主营业务包含'应用软件及服务'和'金融行业'收入，表明公司为金融行业提供软件服务，可能涉及银行IT或金融数据，但缺乏具体产品描述，无AI证据。,低置信度,deepseek-v4-pro,2693,252,2945,completed
True,none,支付科技,core,80,收单服务及其他收入、收单及增值服务(行业)、电子支付,,False,False,规则判定为“非金融主体”合理，业务描述未误触金融主体关键词，公司未持牌金融业务,主营业务明确包含收单服务和电子支付，属于支付科技赛道，但未提供AI相关技术证据，置信度较第一轮略高因排除误判可能。,False,300130.SZ,300130.SZ,新国都,IT设备,非金融主体,,True,75,支付科技,主营业务明确包含收单服务、增值服务和电子支付，属于支付科技领域，但未提供AI相关证据。,低置信度,deepseek-v4-pro,2146,226,2372,completed
True,indirect,支付科技,core,70,电子支付密码系统、支付管理系统、对公移动支付、票据防伪行业、纸纹防伪系统,,False,False,金融主体规则未命中，分类为非金融主体合理，因业务虽涉及支付科技但并非持牌金融机构,主营业务明确包含电子支付密码系统、支付管理系统、对公移动支付等金融支付领域的具体产品，且票据防伪和纸纹防伪服务于金融票据安全场景，属于支付科技范畴。虽未明确提及AI技术，但金融业务锚定词充分，且原文无泛化智能化噪音词，故认定为金融科技相关。与第一轮结论基本一致，无显著差异。,False,300333.SZ,300333.SZ,兆日科技,IT设备,非金融主体,,True,75,支付科技,主营业务包含电子支付密码系统、支付管理系统、对公移动支付，属于支付科技范畴，但输入没有AI技术证据，且业务描述较为具体。,低置信度,deepseek-v4-pro,2113,284,2397,completed
True,none,银行IT、金融数据,core,70,数字金融业务解决方案、大数据应用系统解决方案、全面价值管理解决方案,,False,False,公司未命中任何金融主体规则，类别为非金融主体，与实际业务可能不一致，但复核仅关注业务描述，不据此推断。,主营业务明确包含数字金融业务解决方案和大数据应用系统解决方案，直接面向金融行业数字化和数据处理，属于银行IT和金融数据赛道。未发现泛化智能化表述，非误判。,False,300348.SZ,300348.SZ,长亮科技,软件服务,非金融主体,,True,75,银行IT、金融数据,主营业务包括数字金融业务解决方案和大数据应用系统解决方案，明确面向金融行业的数字化和数据处理，符合银行IT和金融数据赛道。但未出现AI相关描述，需要年报进一步验证是否存在AI技术。,低置信度,deepseek-v4-pro,2137,237,2374,completed
True,none,银行IT、智能风控,core,85,信贷管理系统、风险管理系统、数据仓库和商业智能系统、非银行金融机构及其他系统,,False,False,主营业务明确包含信贷管理系统和风险管理系统，直接面向金融领域，金融主体分类合理,主营业务中信贷管理系统收入占比超70%，明确为金融机构提供核心业务系统，属于典型银行IT赛道，同时风险管理系统属于智能风控领域。未发现泛化智能化表述误导。第一轮结论正确，但AI证据级别实为none，因未提及AI技术。,False,300380.SZ,300380.SZ,安硕信息,软件服务,金融相关主体,金融科技服务商,True,75,银行IT、智能风控,主营业务明确包含银行专用信贷管理系统和风险管理系统，属于银行IT和智能风控赛道，但输入未涉及人工智能技术。,非持牌金融相关主体,deepseek-v4-pro,2260,252,2512,completed
True,none,银行IT、证券IT,core,80,银行业、非银金融机构、软件开发及服务,,False,False,金融主体类型判定为非金融主体合理，因行业、主营业务和公司名称均未命中金融主体规则。,主营业务明确面向银行业和非银金融机构提供软件开发及服务，属于金融科技范畴，但无AI相关描述。与第一轮结论一致。,False,300465.SZ,300465.SZ,高伟达,软件服务,非金融主体,,True,75,银行IT、证券IT,主营业务明确包含银行业和非银金融机构，且为软件开发及服务，但描述较宽泛，无AI证据。,低置信度,deepseek-v4-pro,2188,209,2397,completed
