company_id,company_name,primary_direction,primary_cn,secondary_direction,secondary_cn,stack_breadth,stack_depth,hhi,top3,cluster,cluster_name,evidence_sentences,high_conf,medium_conf,product_line_count,board,segment
300663.SZ,科蓝软件,TECH_LLM,大模型与生成式AI,AI_ENGINEERING,AI工程化与算力底座,3,9.344,0.487,大模型与生成式AI(0.98) > AI工程化与算力底座(0.72) > 计算机视觉(0.07),5,计算机视觉/内部提效应用,29,4,18,3,创业板,金融IT服务商
300033.SZ,同花顺,TECH_LLM,大模型与生成式AI,AI_ENGINEERING,AI工程化与算力底座,2,9.158,0.972,大模型与生成式AI(1.00) > AI工程化与算力底座(0.11),3,智能投研与财富管理/智能客服与营销,33,6,19,2,创业板,互联网金融信息
300059.SZ,东方财富,TECH_LLM,大模型与生成式AI,AI_ENGINEERING,AI工程化与算力底座,4,7.452,0.692,大模型与生成式AI(1.00) > AI工程化与算力底座(0.21) > 自然语言处理(0.21),5,计算机视觉/内部提效应用,14,1,15,1,创业板,互联网金融信息
688590.SH,新致软件,TECH_LLM,大模型与生成式AI,TECH_SPEECH,智能语音,6,6.249,0.416,大模型与生成式AI(1.00) > 智能语音(0.29) > 计算机视觉(0.18),5,计算机视觉/内部提效应用,18,1,14,2,科创板,金融IT服务商
002657.SZ,中科金财,TECH_LLM,大模型与生成式AI,TECH_CV,计算机视觉,3,5.122,0.436,大模型与生成式AI(1.00) > 计算机视觉(0.90) > 知识图谱(0.28),5,计算机视觉/内部提效应用,19,2,6,0,深市主板,金融IT服务商
300348.SZ,长亮科技,TECH_LLM,大模型与生成式AI,TECH_DECISION,智能决策与预测,3,4.64,0.647,大模型与生成式AI(1.00) > 智能决策与预测(0.26) > 隐私计算与可信AI(0.13),5,计算机视觉/内部提效应用,13,2,9,2,创业板,金融IT服务商
300085.SZ,银之杰,TECH_CV,计算机视觉,TECH_ML,机器学习与深度学习,4,3.723,0.576,计算机视觉(1.00) > 机器学习与深度学习(0.30) > 大模型与生成式AI(0.13),5,计算机视觉/内部提效应用,9,2,2,0,创业板,金融IT服务商
300377.SZ,赢时胜,TECH_LLM,大模型与生成式AI,TECH_ML,机器学习与深度学习,2,3.308,0.828,大模型与生成式AI(1.00) > 机器学习与深度学习(0.08),5,计算机视觉/内部提效应用,16,1,7,0,创业板,金融IT服务商
603171.SH,税友股份,TECH_LLM,大模型与生成式AI,TECH_KG,知识图谱,3,3.139,0.516,大模型与生成式AI(0.93) > 知识图谱(0.46) > 强化学习与智能优化(0.39),5,计算机视觉/内部提效应用,7,1,6,0,沪市主板,金融IT服务商
688318.SH,财富趋势,TECH_LLM,大模型与生成式AI,TECH_RL,强化学习与智能优化,4,3.113,0.473,大模型与生成式AI(0.90) > 强化学习与智能优化(0.43) > 自然语言处理(0.24),5,计算机视觉/内部提效应用,13,3,5,3,科创板,互联网金融信息
300541.SZ,先进数通,TECH_LLM,大模型与生成式AI,AI_ENGINEERING,AI工程化与算力底座,2,2.6,0.506,大模型与生成式AI(0.92) > AI工程化与算力底座(0.85),5,计算机视觉/内部提效应用,9,2,3,0,创业板,金融IT服务商
002987.SZ,京北方,TECH_LLM,大模型与生成式AI,TECH_CV,计算机视觉,2,2.513,0.874,大模型与生成式AI(0.94) > 计算机视觉(0.05),5,计算机视觉/内部提效应用,7,0,6,0,深市主板,金融IT服务商
300996.SZ,普联软件,TECH_ML,机器学习与深度学习,TECH_LLM,大模型与生成式AI,3,2.478,0.389,机器学习与深度学习(1.00) > 大模型与生成式AI(0.79) > 智能决策与预测(0.47),5,计算机视觉/内部提效应用,6,0,7,1,创业板,金融IT服务商
603927.SH,中科软,AI_ENGINEERING,AI工程化与算力底座,TECH_KG,知识图谱,3,2.264,0.442,AI工程化与算力底座(1.00) > 知识图谱(0.67) > 大模型与生成式AI(0.24),5,计算机视觉/内部提效应用,10,2,5,1,沪市主板,金融IT服务商
