sentence_id,candidate_label,positive_similarity,positive_prototype_id,positive_prototype_text,hard_negative_similarity,hard_negative_prototype_id,hard_negative_prototype_text,semantic_margin,positive_threshold,margin_threshold,embedding_pass,sentence_text,company_id,company_name,report_year,section,company_attribution,status_code,rule_confidence,source_file,pdf_page
CAND-00001,TECH_DECISION,0.467261,PRO-032,决策平台调用知识图谱和风险模型生成授信建议。,0.299725,PRO-035,公司建设普通工作流引擎实现表单流转。,0.167535,0.72,0.08,0,拟达到的目标：通过数据驱动与智能决策能力建设，显著降低运营成本与合规风险，加速资产包回款周期，强化公司在个贷不良处置领域的科技壁垒，为规模化、平台化发展奠定坚实基础。,000567.SZ,海德股份,2025,研发投入,COMPANY,WEAK_GENERIC,0.6,000567.SZ_海德股份_2025_管理层讨论与分析.pdf,11
CAND-00002,PRODUCT_PAYMENT,0.319109,PRO-076,支付风控模型实时识别异常商户和高风险交易。,0.340801,PRO-079,公司提供二维码支付和账户结算服务。,-0.021692,0.72,0.08,0,公司财富管理业务代理客户买卖股票、债券、基金、期货及其他可交易证券，根据客户需求提供全方位、可定制的投资顾问、理财规划、资产配置等服务，同时为专业投资者提供基金运营、投资交易风控系统等服务。,000750.SZ,国海证券,2025,业务概要,COMPANY,,0.45,000750.SZ_国海证券_2025_管理层讨论与分析.pdf,1
CAND-00003,TECH_LLM,0.328306,PRO-036,公司基于金融语料微调大语言模型，用于研报摘要和问答。,0.308478,PRO-039,年报介绍了ChatGPT在全球市场的发展趋势。,0.019828,0.72,0.08,0,传媒、海外、化工、银行、汽车、商社、电新、农业等行业在各大权威评选中具有品牌影响力，在政策、大宗商品、地缘政治、资产配置、新材料、房地产、潮玩、可转债、美债、铝、中药、风电、大众品、游戏、AIGC、港美股、区块链等方向形成了鲜明的特色，荣获新财富杂志、新浪金麒麟、水晶球、全国保险资管协会、金牛奖等最佳分析师权威评选奖项。,000750.SZ,国海证券,2025,业务概要,UNKNOWN,,0.95,000750.SZ_国海证券_2025_管理层讨论与分析.pdf,4
CAND-00004,AI_GENERAL,0.378776,PRO-200,公司正在推进人工智能技术在金融业务中的研发和应用。,0.363019,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,0.015757,0.72,0.08,0,作为国内首批设立并在广西区内注册的唯一一家综合性证券公司，也是广西唯一一家上市金融机构，公司扎实落实“一区两地一园一通道”“打造面向东盟的人工智能合作高地”建设等战略部署，在引资、引产、引智上持续发力，助力地方经济和资本市场高质量发展，同时树立了较强的品牌效应，具有较强的品牌认知度和忠诚度，积累了丰富的机构及财富管理客户资源。,000750.SZ,国海证券,2025,核心竞争力,COMPANY,APPLIED,0.65,000750.SZ_国海证券_2025_管理层讨论与分析.pdf,7
CAND-00005,TECH_LLM,0.430108,PRO-037,平台结合RAG与企业知识库构建金融智能助手。,0.402813,PRO-039,年报介绍了ChatGPT在全球市场的发展趋势。,0.027294,0.72,0.08,0,升级创新工具底座，接入新一代大模型并引入低代码平台，成功应用于数据填报等场景，并探索资本市场商机挖掘等高阶应用，有效提升运营效率。,000987.SZ,越秀资本,2025,研发投入,UNKNOWN,APPLIED,0.8,000987.SZ_越秀资本_2025_管理层讨论与分析.pdf,10
CAND-00006,AI_GENERAL,0.392976,PRO-200,公司正在推进人工智能技术在金融业务中的研发和应用。,0.348704,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,0.044272,0.72,0.08,0,依托多年在细分领域积累的客户资源及行业经验，公司充分发挥人工智能、边缘计算、大数据等核心技术优势，持续巩固基石产业，积极培育创新赛道，深化全球化布局。,000997.SZ,新大陆,2025,业务概要,COMPANY,,0.6,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,1
CAND-00007,PRODUCT_PAYMENT,0.476933,PRO-076,支付风控模型实时识别异常商户和高风险交易。,0.498652,PRO-079,公司提供二维码支付和账户结算服务。,-0.021719,0.72,0.08,0,公司商户运营及增值服务主要聚焦于我国实体经济的重要组成部分——线下中小微商户，以聚合支付为入口，以合规风控为基石，依托公司全场景智能支付设备，结合各类定制化场景解决方案，为商户提供聚合支付、库存管理、会员营销等数字化服务，并通过大数据分析，帮助商户增加收入、提升经营效率、降低运营成本与融资难度。,000997.SZ,新大陆,2025,业务概要,COMPANY,WEAK_GENERIC,0.1,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,2
CAND-00008,AI_GENERAL,0.332671,PRO-202,公司部署智能体执行多步骤业务任务，但未披露大模型或强化学习技术。,0.346633,PRO-204,公司名称或英文单词内部包含字母AI，但不存在独立AI术语。,-0.013962,0.72,0.08,0,新大陆识别公司、江苏智联公司、思必拓公司、优迈捷公司主要从事感知识别产品、机器视觉产品及专用芯片的设计、研发和销售，拥有多个自主研发的解码芯片，结合人工智能技术在嵌入式系统底层开发与定制剪裁，形成与各行业应用场景深入匹配的智能化硬件产品与解决方案。,000997.SZ,新大陆,2025,业务概要,COMPANY,R_AND_D,0.85,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,2
CAND-00008,TECH_CV,0.375233,PRO-021,公司利用OCR识别发票、银行回单和保险理赔材料。,0.414712,PRO-024,公司在生产线使用机器视觉检测产品外观缺陷。,-0.039479,0.72,0.08,0,新大陆识别公司、江苏智联公司、思必拓公司、优迈捷公司主要从事感知识别产品、机器视觉产品及专用芯片的设计、研发和销售，拥有多个自主研发的解码芯片，结合人工智能技术在嵌入式系统底层开发与定制剪裁，形成与各行业应用场景深入匹配的智能化硬件产品与解决方案。,000997.SZ,新大陆,2025,业务概要,COMPANY,R_AND_D,0.85,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,2
CAND-00009,AI_GENERAL,0.386096,PRO-202,公司部署智能体执行多步骤业务任务，但未披露大模型或强化学习技术。,0.31717,PRO-203,人工智能正在推动金融行业数字化转型。,0.068926,0.72,0.08,0,杉昊智能公司主要从事线下商户服务平台的研发，整合各类SaaS 产品，结合AI 与大数据处理分析技术为中小微商户提供数字化解决方案，覆盖零售、餐饮、医疗、烟草等多个行业。,000997.SZ,新大陆,2025,业务概要,COMPANY,R_AND_D,0.65,000997.SZ_新大陆_2025_管理层讨论与分析.pdf,2
