company_id,company_name,segment,board,in_kg_sample,revenue_2025_yi,revenue_source,revenue_implied_yi,net_profit_2025_yi,total_assets_2025_yi,roe_2025_pct,net_margin_pct,is_loss,rd_amount_2025_yi,rd_intensity_pct,rd_growth_pct,rd_cap_ratio_pct,rd_staff_2025,rd_disclosed,rd_format,asset_intensity,ai_kw_hits_2025,ai_breadth_2025,ai_depth_2025,ai_hhi_2025,ai_product_lines_2025,primary_direction_2025,top3_2025,text_len,ai_density_2025,rd_text_type,breadth_2024,depth_2024,hhi_2024,primary_2024,evidence_2024,products_2024,revenue_tier,rd_tier,profit_tier
000567.SZ,海德股份,其他金融,,False,7.31,年报反推,7.31,,,,,,0.0066,0.09,-90.28,0.0,,True,A_深市版,资产密集型金融机构,2,1,1.0,1.0,1,智能决策与预测,智能决策与预测(1.0),628,3.185,叙述型(含研发项目描述),,,,,,,小规模,低研发强度,
000686.SZ,东北证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,107,0.0,纯表格型(仅投入金额表),,,,,,,,,
000750.SZ,国海证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,44,0.0,未披露/极简,,,,,,,,,
000776.SZ,广发证券,证券,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,0,0,0.0,,0,,,40,0.0,未披露/极简,,,,,,,,,
000987.SZ,越秀资本,证券,深市主板,True,76.77,年报反推,76.77,,,,,,0.0461,0.06,-40.7,,,True,A_深市版,资产密集型金融机构,8,1,1.0,1.0,2,大模型与生成式AI,大模型与生成式AI(1.0),839,9.535,纯表格型(仅投入金额表),1.0,0.42,1.0,大模型与生成式AI,1.0,0.0,大规模,低研发强度,
000997.SZ,新大陆,支付与商户服务,深市主板,True,87.58,年报检索,87.62,10.11,,13.91,11.54,0.0,6.5103,7.43,-2.02,0.0,3594.0,True,A_深市版,轻资产科技服务商,19,1,1.0,1.0,1,智能决策与预测,智能决策与预测(1.0),746,25.469,叙述型(含研发项目描述),1.0,0.533,1.0,智能决策与预测,8.0,1.0,大规模,中研发强度,微利/一般盈利
001236.SZ,弘业期货,期货,,False,,缺失,,,,,,,,,,,,False,无投入表,资产密集型金融机构,5,0,0.0,,0,,,288,17.361,叙述型(含研发项目描述),,,,,,,,,
002537.SZ,海联金汇,其他,,False,,缺失,,,,,,,,,,,,False,无投入表,轻资产科技服务商,4,0,0.0,,1,,,1991,2.009,叙述型(含研发项目描述),,,,,,,,,
002647.SZ,仁东控股,支付与商户服务,深市主板,True,8.22,年报反推,8.22,,,,,,0.3511,4.27,-32.19,,,True,A_深市版,轻资产科技服务商,26,1,1.0,1.0,4,智能决策与预测,智能决策与预测(1.0),2182,11.916,叙述型(含研发项目描述),1.0,0.204,1.0,智能决策与预测,3.0,2.0,小规模,中研发强度,
002657.SZ,中科金财,金融IT服务商,深市主板,True,8.56,年报检索,8.56,-1.1,,,-12.85,1.0,1.9797,23.13,14.57,,,True,A_深市版,轻资产科技服务商,31,4,19.0,0.573,1,大模型与生成式AI,大模型与生成式AI(14.0) > 计算机视觉(3.0) > 自然语言处理(1.0),1714,18.086,叙述型(含研发项目描述),3.0,5.122,0.436,大模型与生成式AI,19.0,0.0,中规模,高研发强度,亏损
